,confirmed_cases,total_dead,recovered
06-28-2020,959,53,830
06-27-2020,941,53,830
06-26-2020,941,53,830
06-25-2020,934,53,826
06-24-2020,919,53,825
06-23-2020,907,53,823
06-22-2020,903,53,814
06-21-2020,903,53,814
06-20-2020,901,53,810
06-19-2020,900,53,810
06-18-2020,899,53,810
06-17-2020,899,53,809
06-16-2020,895,53,807
06-15-2020,894,53,804
06-14-2020,894,53,799
06-13-2020,892,53,799
06-12-2020,892,53,791
06-11-2020,892,53,790
06-10-2020,891,53,765
06-09-2020,891,53,765
06-08-2020,890,53,765
06-07-2020,889,53,765
06-06-2020,888,53,765
06-05-2020,888,53,760
06-04-2020,885,53,760
06-03-2020,884,53,753
06-02-2020,881,53,720
06-01-2020,847,53,720
05-31-2020,847,53,720
05-30-2020,847,53,720
05-29-2020,847,53,720
05-28-2020,847,53,719
05-27-2020,845,53,672
05-26-2020,832,52,672
05-25-2020,832,52,672
05-24-2020,814,52,672
05-23-2020,814,52,672
05-22-2020,814,52,672
05-21-2020,812,52,669
05-20-2020,809,52,661
05-19-2020,796,51,652
05-18-2020,796,51,652
05-17-2020,796,51,644
05-16-2020,782,51,604
05-15-2020,780,51,595
05-14-2020,773,51,592
05-13-2020,773,51,592
05-12-2020,766,51,588
05-11-2020,760,50,584
05-10-2020,751,49,577
05-09-2020,748,48,569
05-08-2020,744,48,566
05-07-2020,736,48,562
05-06-2020,729,48,555
05-05-2020,688,48,548
05-04-2020,672,46,545
05-03-2020,662,45,540
05-02-2020,652,44,535
05-01-2020,649,44,517
04-30-2020,645,43,506
04-29-2020,641,43,498
04-28-2020,638,42,476
04-27-2020,635,42,469
04-26-2020,632,42,453
04-25-2020,629,41,442
04-24-2020,629,41,425
04-23-2020,616,41,410
04-22-2020,609,39,389
04-21-2020,600,38,362
04-20-2020,581,38,357
04-19-2020,576,36,338
04-18-2020,565,36,321
04-17-2020,557,35,294
04-16-2020,546,32,257
04-15-2020,542,32,226
04-14-2020,528,30,177
04-13-2020,497,27,161
04-12-2020,497,27,161
04-11-2020,484,27,155
04-10-2020,443,24,146
04-09-2020,443,24,146
04-08-2020,414,23,134
04-07-2020,384,19,127
04-06-2020,364,18,108
04-05-2020,345,17,90
04-04-2020,318,16,66
04-03-2020,302,16,50
04-02-2020,288,16,50
04-01-2020,282,16,46
03-31-2020,261,14,32
03-30-2020,246,12,31
03-29-2020,222,12,23
03-28-2020,207,11,21
03-27-2020,180,9,12
03-26-2020,152,7,10
03-25-2020,146,4,10
03-24-2020,114,4,7
03-23-2020,99,4,5
03-22-2020,75,4,5
03-21-2020,64,2,5
03-20-2020,40,1,0
03-19-2020,33,1,0
03-18-2020,20,1,0
03-17-2020,15,0,0
03-16-2020,15,0,0
03-15-2020,3,0,0
03-14-2020,2,0,0
03-13-2020,2,0,0
03-12-2020,2,0,0
03-11-2020,2,0,0
03-10-2020,1,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
