,confirmed_cases,total_dead,recovered
07-04-2020,3969,48,914
07-03-2020,3918,48,859
07-02-2020,3788,47,810
07-01-2020,3745,47,787
06-30-2020,3745,47,787
06-29-2020,3613,47,773
06-28-2020,3429,45,699
06-27-2020,3429,45,699
06-26-2020,3340,40,661
06-25-2020,3244,40,607
06-24-2020,3099,38,572
06-23-2020,3051,37,522
06-22-2020,2963,30,495
06-21-2020,2808,23,472
06-20-2020,2686,19,420
06-19-2020,2605,19,417
06-18-2020,2605,19,417
06-17-2020,2564,18,402
06-16-2020,2410,14,396
06-15-2020,2222,7,369
06-14-2020,2057,7,363
06-13-2020,2057,7,363
06-12-2020,2044,7,360
06-11-2020,1952,5,38
06-10-2020,1888,5,38
06-09-2020,1850,5,38
06-08-2020,1850,5,38
06-07-2020,1634,5,38
06-06-2020,1570,5,37
06-05-2020,1451,4,29
06-04-2020,1288,4,23
06-03-2020,1173,4,23
06-02-2020,1069,4,23
06-01-2020,1069,4,23
05-31-2020,1011,2,23
05-30-2020,962,1,23
05-29-2020,874,1,23
05-28-2020,755,1,23
05-27-2020,702,1,23
05-26-2020,671,1,22
05-25-2020,652,1,22
05-24-2020,604,1,22
05-23-2020,552,1,18
05-22-2020,479,0,18
05-21-2020,436,0,18
05-20-2020,418,0,18
05-19-2020,366,0,18
05-18-2020,327,0,13
05-17-2020,327,0,13
05-16-2020,327,0,13
05-15-2020,301,0,13
05-14-2020,143,0,10
05-13-2020,143,0,10
05-12-2020,143,0,10
05-11-2020,143,0,10
05-10-2020,143,0,10
05-09-2020,143,0,10
05-08-2020,143,0,10
05-07-2020,94,0,10
05-06-2020,94,0,10
05-05-2020,85,0,10
05-04-2020,85,0,10
05-03-2020,72,0,10
05-02-2020,72,0,10
05-01-2020,72,0,10
04-30-2020,50,0,10
04-29-2020,50,0,10
04-28-2020,50,0,10
04-27-2020,19,0,10
04-26-2020,19,0,10
04-25-2020,16,0,10
04-24-2020,16,0,10
04-23-2020,16,0,10
04-22-2020,14,0,10
04-21-2020,14,0,10
04-20-2020,12,0,4
04-19-2020,12,0,4
04-18-2020,12,0,4
04-17-2020,12,0,4
04-16-2020,12,0,4
04-15-2020,12,0,4
04-14-2020,11,0,4
04-13-2020,11,0,3
04-12-2020,8,0,0
04-11-2020,8,0,0
04-10-2020,8,0,0
04-09-2020,8,0,0
04-08-2020,8,0,0
04-07-2020,8,0,0
04-06-2020,8,0,0
04-05-2020,8,0,0
04-04-2020,8,0,0
04-03-2020,8,0,0
04-02-2020,3,0,0
04-01-2020,3,0,0
03-31-2020,3,0,0
03-30-2020,3,0,0
03-29-2020,3,0,0
03-28-2020,3,0,0
03-27-2020,3,0,0
03-26-2020,3,0,0
03-25-2020,3,0,0
03-24-2020,3,0,0
03-23-2020,3,0,0
03-22-2020,3,0,0
03-21-2020,3,0,0
03-20-2020,3,0,0
03-19-2020,1,0,0
03-18-2020,1,0,0
03-17-2020,1,0,0
03-16-2020,1,0,0
03-15-2020,1,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
