,confirmed_cases,total_dead,recovered
07-21-2020,337,7,319
07-20-2020,334,7,313
07-19-2020,334,7,313
07-18-2020,328,7,311
07-17-2020,328,7,311
07-16-2020,328,7,311
07-15-2020,321,7,302
07-14-2020,321,7,302
07-13-2020,317,7,296
07-12-2020,317,7,296
07-11-2020,317,7,296
07-10-2020,314,7,272
07-09-2020,314,7,272
07-08-2020,313,7,272
07-07-2020,311,7,266
07-06-2020,311,7,266
07-05-2020,311,7,266
07-04-2020,309,7,241
07-03-2020,309,7,241
07-02-2020,303,7,200
07-01-2020,303,7,200
06-30-2020,303,7,200
06-29-2020,272,7,161
06-28-2020,272,7,161
06-27-2020,272,7,161
06-26-2020,272,7,161
06-25-2020,272,7,161
06-24-2020,265,7,159
06-23-2020,265,7,159
06-22-2020,247,5,159
06-21-2020,247,5,159
06-20-2020,247,5,159
06-19-2020,210,5,129
06-18-2020,210,5,129
06-17-2020,197,3,127
06-16-2020,197,3,127
06-15-2020,176,2,114
06-14-2020,176,2,114
06-13-2020,176,2,114
06-12-2020,163,2,97
06-11-2020,162,2,97
06-10-2020,162,2,97
06-09-2020,141,2,67
06-08-2020,141,2,67
06-07-2020,141,2,67
06-06-2020,141,2,67
06-05-2020,132,2,55
06-04-2020,132,2,55
06-03-2020,132,2,27
06-02-2020,132,2,27
06-01-2020,106,2,26
05-31-2020,106,2,26
05-30-2020,106,2,26
05-29-2020,87,2,24
05-28-2020,87,2,24
05-27-2020,87,2,24
05-26-2020,87,1,21
05-25-2020,87,1,21
05-24-2020,87,1,21
05-23-2020,78,1,18
05-22-2020,78,1,18
05-21-2020,34,1,8
05-20-2020,34,1,8
05-19-2020,11,1,3
05-18-2020,11,1,3
05-17-2020,11,1,3
05-16-2020,11,1,3
05-15-2020,11,1,3
05-14-2020,11,1,3
05-13-2020,11,1,0
05-12-2020,11,1,0
05-11-2020,11,1,0
05-10-2020,11,1,0
05-09-2020,11,1,0
05-08-2020,8,1,0
05-07-2020,8,1,0
05-06-2020,8,1,0
05-05-2020,3,0,0
05-04-2020,3,0,0
05-03-2020,3,0,0
05-02-2020,3,0,0
05-01-2020,1,0,0
04-30-2020,1,0,0
04-29-2020,0,0,0
04-28-2020,0,0,0
04-27-2020,0,0,0
04-26-2020,0,0,0
04-25-2020,0,0,0
04-24-2020,0,0,0
04-23-2020,0,0,0
04-22-2020,0,0,0
04-21-2020,0,0,0
04-20-2020,0,0,0
04-19-2020,0,0,0
04-18-2020,0,0,0
04-17-2020,0,0,0
04-16-2020,0,0,0
04-15-2020,0,0,0
04-14-2020,0,0,0
04-13-2020,0,0,0
04-12-2020,0,0,0
04-11-2020,0,0,0
04-10-2020,0,0,0
04-09-2020,0,0,0
04-08-2020,0,0,0
04-07-2020,0,0,0
04-06-2020,0,0,0
04-05-2020,0,0,0
04-04-2020,0,0,0
04-03-2020,0,0,0
04-02-2020,0,0,0
04-01-2020,0,0,0
03-31-2020,0,0,0
03-30-2020,0,0,0
03-29-2020,0,0,0
03-28-2020,0,0,0
03-27-2020,0,0,0
03-26-2020,0,0,0
03-25-2020,0,0,0
03-24-2020,0,0,0
03-23-2020,0,0,0
03-22-2020,0,0,0
03-21-2020,0,0,0
03-20-2020,0,0,0
03-19-2020,0,0,0
03-18-2020,0,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
