,confirmed_cases,total_dead,recovered
07-21-2020,2088,50,479
07-20-2020,1980,49,441
07-19-2020,1866,48,418
07-18-2020,1791,48,385
07-17-2020,1704,47,380
07-16-2020,1652,46,379
07-15-2020,1589,43,373
07-14-2020,1563,42,370
07-13-2020,1512,40,367
07-12-2020,1433,39,341
07-11-2020,1389,38,340
07-10-2020,1342,38,307
07-09-2020,1342,38,307
07-08-2020,1268,36,306
07-07-2020,1182,35,295
07-06-2020,1117,34,269
07-05-2020,1046,32,261
07-04-2020,989,27,258
07-03-2020,918,27,230
07-02-2020,891,26,224
07-01-2020,874,25,223
06-30-2020,824,24,209
06-29-2020,802,23,206
06-28-2020,762,21,196
06-27-2020,727,18,171
06-26-2020,713,18,142
06-25-2020,698,18,140
06-24-2020,670,18,138
06-23-2020,639,17,132
06-22-2020,595,10,116
06-21-2020,571,10,103
06-20-2020,544,10,98
06-19-2020,520,10,83
06-18-2020,510,10,81
06-17-2020,500,10,78
06-16-2020,484,10,76
06-15-2020,467,10,70
06-14-2020,454,10,63
06-13-2020,418,8,62
06-12-2020,409,6,59
06-11-2020,393,5,59
06-10-2020,378,5,59
06-09-2020,359,5,58
06-08-2020,332,5,57
06-07-2020,256,5,52
06-06-2020,256,5,52
06-05-2020,239,5,52
06-04-2020,209,5,52
06-03-2020,196,5,52
06-02-2020,182,5,52
06-01-2020,168,5,52
05-31-2020,156,5,52
05-30-2020,130,5,50
05-29-2020,118,5,41
05-28-2020,105,5,41
05-27-2020,99,4,40
05-26-2020,77,3,40
05-25-2020,75,3,40
05-24-2020,75,3,39
05-23-2020,75,3,39
05-22-2020,72,3,38
05-21-2020,71,3,35
05-20-2020,69,3,35
05-19-2020,68,3,35
05-18-2020,65,3,35
05-17-2020,65,3,35
05-16-2020,65,3,28
05-15-2020,64,3,28
05-14-2020,64,3,28
05-13-2020,64,3,28
05-12-2020,64,3,28
05-11-2020,64,3,28
05-10-2020,64,3,24
05-09-2020,64,3,24
05-08-2020,64,3,24
05-07-2020,64,3,24
05-06-2020,64,3,24
05-05-2020,63,3,23
05-04-2020,63,3,23
05-03-2020,63,3,22
05-02-2020,63,3,22
05-01-2020,63,3,18
04-30-2020,61,3,18
04-29-2020,61,2,18
04-28-2020,61,2,18
04-27-2020,61,2,18
04-26-2020,61,2,18
04-25-2020,61,2,18
04-24-2020,61,2,18
04-23-2020,60,2,15
04-22-2020,59,1,15
04-21-2020,51,1,15
04-20-2020,51,1,15
04-19-2020,51,1,11
04-18-2020,49,1,11
04-17-2020,49,1,11
04-16-2020,49,1,11
04-15-2020,48,1,9
04-14-2020,35,1,9
04-13-2020,26,1,9
04-12-2020,25,1,9
04-11-2020,24,1,8
04-10-2020,24,1,8
04-09-2020,24,1,8
04-08-2020,21,1,8
04-07-2020,20,1,1
04-06-2020,19,1,1
04-05-2020,18,1,0
04-04-2020,18,1,0
04-03-2020,11,1,0
04-02-2020,11,1,0
04-01-2020,10,0,0
03-31-2020,10,0,1
03-30-2020,8,0,0
03-29-2020,8,0,0
03-28-2020,3,0,0
03-27-2020,1,0,0
03-26-2020,1,0,0
03-25-2020,1,0,0
03-24-2020,1,0,0
03-23-2020,0,0,0
03-22-2020,0,0,0
03-21-2020,0,0,0
03-20-2020,0,0,0
03-19-2020,0,0,0
03-18-2020,0,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
