,confirmed_cases,total_dead,recovered
07-23-2020,3302,76,1282
07-22-2020,3302,76,1282
07-21-2020,3045,64,1180
07-20-2020,2992,62,1153
07-19-2020,2907,59,1135
07-18-2020,2810,55,1111
07-17-2020,2805,55,1107
07-16-2020,2712,51,1073
07-15-2020,2614,43,1005
07-14-2020,2497,40,795
07-13-2020,2430,39,747
07-12-2020,2364,38,557
07-11-2020,2261,33,517
07-10-2020,2069,31,379
07-09-2020,1942,25,369
07-08-2020,1864,24,345
07-07-2020,1818,19,317
07-06-2020,1742,19,317
07-05-2020,1613,17,317
07-04-2020,1613,17,317
07-03-2020,1498,16,317
07-02-2020,1342,16,271
07-01-2020,1265,16,260
06-30-2020,1224,14,260
06-29-2020,1152,13,260
06-28-2020,1146,13,260
06-27-2020,1038,13,260
06-26-2020,1005,13,260
06-25-2020,960,12,260
06-24-2020,941,11,259
06-23-2020,803,11,258
06-22-2020,749,11,258
06-21-2020,730,11,258
06-20-2020,620,8,91
06-19-2020,620,8,91
06-18-2020,592,8,74
06-17-2020,572,6,73
06-16-2020,564,6,73
06-15-2020,555,6,69
06-14-2020,547,6,69
06-13-2020,529,5,66
06-12-2020,481,4,65
06-11-2020,481,4,55
06-10-2020,455,4,55
06-09-2020,455,4,55
06-08-2020,443,4,55
06-07-2020,438,4,55
06-06-2020,409,4,55
06-05-2020,409,4,55
06-04-2020,393,4,51
06-03-2020,369,4,51
06-02-2020,358,4,42
06-01-2020,336,4,42
05-31-2020,284,4,42
05-30-2020,279,4,42
05-29-2020,273,4,42
05-28-2020,203,4,37
05-27-2020,101,4,37
05-26-2020,101,4,37
05-25-2020,101,4,33
05-24-2020,83,4,33
05-23-2020,82,3,28
05-22-2020,82,3,28
05-21-2020,72,3,27
05-20-2020,71,3,27
05-19-2020,70,3,27
05-18-2020,70,3,27
05-17-2020,70,3,27
05-16-2020,65,3,24
05-15-2020,63,3,24
05-14-2020,63,3,24
05-13-2020,63,3,24
05-12-2020,57,3,24
05-11-2020,57,3,24
05-10-2020,56,3,14
05-09-2020,56,3,14
05-08-2020,43,3,14
05-07-2020,43,3,14
05-06-2020,43,3,9
05-05-2020,41,3,9
05-04-2020,41,3,9
05-03-2020,39,3,9
05-02-2020,38,3,9
05-01-2020,37,3,9
04-30-2020,37,3,7
04-29-2020,36,3,7
04-28-2020,36,3,5
04-27-2020,36,3,4
04-26-2020,34,3,4
04-25-2020,33,3,4
04-24-2020,33,3,4
04-23-2020,33,3,3
04-22-2020,23,3,3
04-21-2020,18,2,3
04-20-2020,17,2,3
04-19-2020,17,2,3
04-18-2020,17,2,3
04-17-2020,17,2,3
04-16-2020,16,2,0
04-15-2020,16,2,0
04-14-2020,16,2,0
04-13-2020,16,2,0
04-12-2020,13,2,0
04-11-2020,12,2,0
04-10-2020,9,1,0
04-09-2020,8,1,0
04-08-2020,8,1,0
04-07-2020,8,1,0
04-06-2020,5,0,0
04-05-2020,4,0,0
04-04-2020,4,0,0
04-03-2020,3,0,0
04-02-2020,3,0,0
04-01-2020,0,0,0
03-31-2020,0,0,0
03-30-2020,0,0,0
03-29-2020,0,0,0
03-28-2020,0,0,0
03-27-2020,0,0,0
03-26-2020,0,0,0
03-25-2020,0,0,0
03-24-2020,0,0,0
03-23-2020,0,0,0
03-22-2020,0,0,0
03-21-2020,0,0,0
03-20-2020,0,0,0
03-19-2020,0,0,0
03-18-2020,0,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
