,confirmed_cases,total_dead,recovered
06-28-2020,900,2,443
06-27-2020,878,2,413
06-26-2020,858,2,398
06-25-2020,850,2,385
06-24-2020,830,2,376
06-23-2020,798,2,371
06-22-2020,787,2,370
06-21-2020,728,2,359
06-20-2020,702,2,357
06-19-2020,661,2,351
06-18-2020,646,2,350
06-17-2020,639,2,347
06-16-2020,636,2,338
06-15-2020,612,2,338
06-14-2020,582,2,332
06-13-2020,541,2,332
06-12-2020,510,2,321
06-11-2020,494,2,313
06-10-2020,476,2,307
06-09-2020,463,2,300
06-08-2020,451,2,297
06-07-2020,439,2,290
06-06-2020,431,2,283
06-05-2020,420,2,282
06-04-2020,410,2,280
06-03-2020,397,2,271
06-02-2020,384,2,269
06-01-2020,377,1,262
05-31-2020,370,1,256
05-30-2020,359,1,250
05-29-2020,355,0,247
05-28-2020,349,0,245
05-27-2020,346,0,245
05-26-2020,339,0,244
05-25-2020,336,0,238
05-24-2020,327,0,237
05-23-2020,325,0,227
05-22-2020,321,0,222
05-21-2020,320,0,217
05-20-2020,314,0,216
05-19-2020,308,0,209
05-18-2020,297,0,203
05-17-2020,292,0,197
05-16-2020,289,0,178
05-15-2020,287,0,177
05-14-2020,287,0,168
05-13-2020,287,0,164
05-12-2020,286,0,153
05-11-2020,285,0,150
05-10-2020,284,0,140
05-09-2020,280,0,140
05-08-2020,273,0,136
05-07-2020,271,0,133
05-06-2020,268,0,130
05-05-2020,261,0,129
05-04-2020,261,0,128
05-03-2020,259,0,124
05-02-2020,255,0,120
05-01-2020,249,0,109
04-30-2020,243,0,104
04-29-2020,225,0,98
04-28-2020,212,0,95
04-27-2020,207,0,93
04-26-2020,191,0,92
04-25-2020,183,0,88
04-24-2020,176,0,87
04-23-2020,154,0,87
04-22-2020,153,0,84
04-21-2020,150,0,84
04-20-2020,147,0,76
04-19-2020,147,0,76
04-18-2020,144,0,69
04-17-2020,143,0,65
04-16-2020,138,0,60
04-15-2020,136,0,54
04-14-2020,134,0,49
04-13-2020,127,0,42
04-12-2020,126,0,25
04-11-2020,120,0,18
04-10-2020,118,0,7
04-09-2020,110,0,7
04-08-2020,110,0,7
04-07-2020,105,0,7
04-06-2020,105,0,4
04-05-2020,104,0,4
04-04-2020,102,0,0
04-03-2020,89,0,0
04-02-2020,84,0,0
04-01-2020,82,0,0
03-31-2020,75,0,0
03-30-2020,70,0,0
03-29-2020,70,0,0
03-28-2020,60,0,0
03-27-2020,54,0,0
03-26-2020,50,0,0
03-25-2020,41,0,0
03-24-2020,40,0,0
03-23-2020,36,0,0
03-22-2020,19,0,0
03-21-2020,17,0,0
03-20-2020,17,0,0
03-19-2020,8,0,0
03-18-2020,8,0,0
03-17-2020,7,0,0
03-16-2020,5,0,0
03-15-2020,1,0,0
03-14-2020,1,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
