,confirmed_cases,total_dead,recovered
06-28-2020,2894,90,887
06-27-2020,2878,90,868
06-26-2020,2878,90,868
06-25-2020,2878,90,868
06-24-2020,2835,90,829
06-23-2020,2812,90,818
06-22-2020,2812,90,818
06-21-2020,2779,90,782
06-20-2020,2755,88,751
06-19-2020,2719,88,724
06-18-2020,2719,88,724
06-17-2020,2696,88,685
06-16-2020,2658,88,649
06-15-2020,2642,88,622
06-14-2020,2618,88,577
06-13-2020,2579,87,559
06-12-2020,2513,85,532
06-11-2020,2513,85,532
06-10-2020,2452,85,506
06-09-2020,2416,85,489
06-08-2020,2368,84,470
06-07-2020,2334,83,441
06-06-2020,2289,82,431
06-05-2020,2204,79,418
06-04-2020,2204,79,418
06-03-2020,2146,79,406
06-02-2020,2089,79,361
06-01-2020,2023,79,361
05-31-2020,1976,78,348
05-30-2020,1916,73,327
05-29-2020,1828,72,310
05-28-2020,1828,72,310
05-27-2020,1731,67,265
05-26-2020,1711,67,253
05-25-2020,1689,66,235
05-24-2020,1594,61,204
05-23-2020,1594,61,204
05-22-2020,1594,61,204
05-21-2020,1594,61,204
05-20-2020,1573,61,188
05-19-2020,1502,59,178
05-18-2020,1455,57,163
05-17-2020,1421,56,152
05-16-2020,1357,55,148
05-15-2020,1284,53,135
05-14-2020,1284,53,135
05-13-2020,1219,52,130
05-12-2020,1170,52,126
05-11-2020,1089,52,121
05-10-2020,1054,51,118
05-09-2020,997,48,110
05-08-2020,928,44,106
05-07-2020,928,44,106
05-06-2020,873,39,87
05-05-2020,835,38,75
05-04-2020,756,35,61
05-03-2020,722,32,44
05-02-2020,671,31,34
05-01-2020,601,28,31
04-30-2020,601,28,31
04-29-2020,582,28,20
04-28-2020,528,28,19
04-27-2020,480,26,10
04-26-2020,436,23,10
04-25-2020,390,18,8
04-24-2020,328,16,8
04-23-2020,328,16,8
04-22-2020,286,8,4
04-21-2020,286,8,4
04-20-2020,237,8,4
04-19-2020,164,7,3
04-18-2020,135,7,2
04-17-2020,116,6,2
04-16-2020,80,5,2
04-15-2020,80,5,2
04-14-2020,60,2,2
04-13-2020,60,2,2
04-12-2020,25,1,2
04-11-2020,21,1,1
04-10-2020,21,1,1
04-09-2020,12,1,1
04-08-2020,12,1,1
04-07-2020,8,0,1
04-06-2020,7,0,1
04-05-2020,7,0,1
04-04-2020,7,0,1
04-03-2020,7,0,1
04-02-2020,5,0,1
04-01-2020,5,0,1
03-31-2020,5,0,1
03-30-2020,3,0,0
03-29-2020,3,0,0
03-28-2020,3,0,0
03-27-2020,3,0,0
03-26-2020,2,0,0
03-25-2020,1,0,0
03-24-2020,1,0,0
03-23-2020,1,0,0
03-22-2020,1,0,0
03-21-2020,1,0,0
03-20-2020,1,0,0
03-19-2020,1,0,0
03-18-2020,1,0,0
03-17-2020,1,0,0
03-16-2020,1,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
