,confirmed_cases,total_dead,recovered
07-23-2020,408052,6093,236260
07-22-2020,394948,5940,229175
07-21-2020,381798,5368,208144
07-20-2020,373628,5173,194865
07-19-2020,364328,5033,191059
07-18-2020,350879,4948,182230
07-17-2020,337594,4804,178183
07-16-2020,324221,4669,165591
07-15-2020,311049,4453,160693
07-14-2020,298292,4346,146279
07-13-2020,287796,4172,138241
07-12-2020,276242,4079,134874
07-11-2020,264184,3971,127715
07-10-2020,250687,3860,118232
07-09-2020,238339,3720,113061
07-08-2020,224665,3602,106842
07-07-2020,215855,3502,102299
07-06-2020,205721,3310,97848
07-05-2020,196750,3199,93315
07-04-2020,187977,3026,91227
07-03-2020,177124,2952,86298
07-02-2020,168061,2844,81999
07-01-2020,159333,2749,76025
06-30-2020,151209,2657,73543
06-29-2020,144264,2529,70614
06-28-2020,138134,2456,68925
06-27-2020,131800,2413,67094
06-26-2020,124590,2340,64111
06-25-2020,118375,2292,59974
06-24-2020,111796,2205,56874
06-23-2020,106108,2102,55045
06-22-2020,101590,1991,53444
06-21-2020,97302,1930,51608
06-20-2020,92681,1877,50326
06-19-2020,87715,1831,47825
06-18-2020,83890,1737,44920
06-17-2020,80412,1674,44331
06-16-2020,76334,1625,42063
06-15-2020,73533,1568,39867
06-14-2020,70038,1480,38531
06-13-2020,65736,1423,36850
06-12-2020,61927,1354,35006
06-11-2020,58568,1284,33252
06-10-2020,55421,1210,31505
06-09-2020,52991,1162,29006
06-08-2020,50879,1080,26099
06-07-2020,48285,998,24364
06-06-2020,45973,952,24258
06-05-2020,43434,908,23088
06-04-2020,40792,848,21311
06-03-2020,37525,792,19682
06-02-2020,35812,755,18313
06-01-2020,34357,705,17291
05-31-2020,32683,683,16809
05-30-2020,30967,643,16116
05-29-2020,29240,611,15093
05-28-2020,27403,577,14370
05-27-2020,25937,552,13451
05-26-2020,24264,524,12741
05-25-2020,23615,481,11917
05-24-2020,22583,429,11100
05-23-2020,21343,407,10104
05-22-2020,20125,397,10104
05-21-2020,19137,369,8950
05-20-2020,18003,339,8950
05-19-2020,17200,312,7960
05-18-2020,16433,286,7298
05-17-2020,15515,264,7006
05-16-2020,14355,261,6478
05-15-2020,13524,247,6083
05-14-2020,12739,238,5676
05-13-2020,12074,219,4745
05-12-2020,11350,206,4357
05-11-2020,10652,206,4357
05-10-2020,10015,194,4173
05-09-2020,9420,186,3983
05-08-2020,8895,178,3153
05-07-2020,8232,161,3153
05-06-2020,7808,153,3153
05-05-2020,7572,148,2746
05-04-2020,7220,138,2746
05-03-2020,6783,131,2549
05-02-2020,6336,123,2549
05-01-2020,5951,116,2382
04-30-2020,5647,103,2073
04-29-2020,5350,103,2073
04-28-2020,4996,93,2073
04-27-2020,4793,90,1473
04-26-2020,4546,87,1473
04-25-2020,4361,86,1473
04-24-2020,4220,79,1473
04-23-2020,3953,75,1473
04-22-2020,3635,65,1055
04-21-2020,3465,58,1055
04-20-2020,3300,58,1055
04-19-2020,3158,54,903
04-18-2020,3034,52,903
04-17-2020,2783,50,903
04-16-2020,2605,48,903
04-15-2020,2506,34,410
04-14-2020,2415,27,410
04-13-2020,2272,27,410
04-12-2020,2173,25,410
04-11-2020,2028,25,410
04-10-2020,2003,24,410
04-09-2020,1934,18,95
04-08-2020,1845,18,95
04-07-2020,1749,13,95
04-06-2020,1686,12,95
04-05-2020,1655,11,95
04-04-2020,1585,9,95
04-03-2020,1505,9,95
04-02-2020,1462,5,50
04-01-2020,1380,5,50
03-31-2020,1353,5,31
03-30-2020,1326,3,31
03-29-2020,1280,2,31
03-28-2020,1187,1,31
03-27-2020,1170,1,31
03-26-2020,927,0,12
03-25-2020,709,0,12
03-24-2020,554,0,4
03-23-2020,402,0,4
03-22-2020,274,0,2
03-21-2020,240,0,0
03-20-2020,202,0,0
03-19-2020,150,0,0
03-18-2020,116,0,0
03-17-2020,62,0,0
03-16-2020,62,0,0
03-15-2020,51,0,0
03-14-2020,38,0,0
03-13-2020,24,0,0
03-12-2020,17,0,0
03-11-2020,13,0,0
03-10-2020,7,0,0
03-09-2020,3,0,0
03-08-2020,3,0,0
03-07-2020,1,0,0
03-06-2020,1,0,0
03-05-2020,1,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
