,confirmed_cases,total_dead,recovered
06-26-2020,833,0,761
06-25-2020,821,0,731
06-24-2020,805,0,717
06-23-2020,797,0,699
06-22-2020,774,0,631
06-21-2020,770,0,578
06-20-2020,763,0,492
06-19-2020,755,0,492
06-18-2020,741,0,486
06-17-2020,732,0,420
06-16-2020,724,0,351
06-15-2020,705,0,299
06-14-2020,696,0,240
06-13-2020,694,0,219
06-12-2020,686,0,161
06-11-2020,679,0,161
06-10-2020,665,0,119
06-09-2020,657,0,118
06-08-2020,646,0,103
06-07-2020,616,0,96
06-06-2020,593,0,82
06-05-2020,557,0,82
06-04-2020,522,0,82
06-03-2020,507,0,82
06-02-2020,489,0,82
06-01-2020,457,0,72
05-31-2020,417,0,72
05-30-2020,413,0,72
05-29-2020,329,0,72
05-28-2020,317,0,69
05-27-2020,281,0,69
05-26-2020,253,0,69
05-25-2020,222,0,69
05-24-2020,198,0,68
05-23-2020,198,0,68
05-22-2020,175,0,68
05-21-2020,160,0,66
05-20-2020,264,0,65
05-19-2020,260,0,63
05-18-2020,248,0,63
05-17-2020,227,0,63
05-16-2020,227,0,63
05-15-2020,203,0,63
05-14-2020,160,0,63
05-13-2020,139,0,55
05-12-2020,129,0,55
05-11-2020,121,0,55
05-10-2020,121,0,55
05-09-2020,116,0,55
05-08-2020,101,0,55
05-07-2020,101,0,55
05-06-2020,100,0,55
05-05-2020,98,0,55
05-04-2020,97,0,55
05-03-2020,89,0,52
05-02-2020,88,0,52
05-01-2020,85,0,52
04-30-2020,83,0,52
04-29-2020,81,0,52
04-28-2020,79,0,52
04-27-2020,79,0,47
04-26-2020,79,0,46
04-25-2020,75,0,46
04-24-2020,75,0,46
04-23-2020,74,0,46
04-22-2020,63,0,45
04-21-2020,61,0,38
04-20-2020,56,0,38
04-19-2020,55,0,28
04-18-2020,55,0,22
04-17-2020,56,0,20
04-16-2020,55,0,20
04-15-2020,55,0,12
04-14-2020,55,0,8
04-13-2020,54,0,7
04-12-2020,54,0,4
04-11-2020,53,0,4
04-10-2020,53,0,0
04-09-2020,53,0,0
04-08-2020,53,0,0
04-07-2020,52,0,0
04-06-2020,52,0,0
04-05-2020,52,0,0
04-04-2020,48,0,0
04-03-2020,48,0,0
04-02-2020,45,0,0
04-01-2020,44,0,0
03-31-2020,44,0,0
03-30-2020,33,0,0
03-29-2020,33,0,0
03-28-2020,30,0,0
03-27-2020,23,0,0
03-26-2020,14,0,0
03-25-2020,14,0,0
03-24-2020,9,0,0
03-23-2020,9,0,0
03-22-2020,1,0,0
03-21-2020,1,0,0
03-20-2020,0,0,0
03-19-2020,0,0,0
03-18-2020,0,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
