,confirmed_cases,total_dead,recovered
06-20-2020,11631,837,8324
06-19-2020,11504,825,8196
06-18-2020,11385,811,8078
06-17-2020,11268,799,7943
06-16-2020,11147,788,7842
06-15-2020,11031,777,7735
06-14-2020,10919,767,7606
06-13-2020,10810,760,7420
06-12-2020,10698,751,7322
06-11-2020,10589,741,7255
06-10-2020,10484,732,7074
06-09-2020,10382,724,6951
06-08-2020,10265,715,6799
06-07-2020,10154,707,6717
06-06-2020,10050,698,6631
06-05-2020,9935,690,6453
06-04-2020,9831,681,6297
06-03-2020,9733,673,6218
06-02-2020,9626,667,6067
06-01-2020,9513,661,5894
05-31-2020,9394,653,5748
05-30-2020,9267,646,5549
05-29-2020,9134,638,5422
05-28-2020,8997,630,5277
05-27-2020,8857,623,5129
05-26-2020,8697,617,4918
05-25-2020,8503,609,4747
05-24-2020,8306,600,4784
05-23-2020,8113,592,4426
05-22-2020,7918,582,4256
05-21-2020,7728,575,4062
05-20-2020,7542,568,3968
05-19-2020,7377,561,3746
05-18-2020,7201,555,3625
05-17-2020,7019,548,3507
05-16-2020,6821,542,3409
05-15-2020,6629,536,3271
05-14-2020,6442,529,3158
05-13-2020,6253,522,3058
05-12-2020,6067,515,2998
05-11-2020,5891,507,2841
05-10-2020,5723,502,2678
05-09-2020,5558,494,2546
05-08-2020,5369,488,2467
05-07-2020,5182,483,2323
05-06-2020,4997,476,2197
05-05-2020,4838,470,2067
05-04-2020,4648,465,1998
05-03-2020,4474,463,1936
05-02-2020,4295,459,1872
05-01-2020,4154,453,1821
04-30-2020,4006,450,1779
04-29-2020,3848,444,1702
04-28-2020,3649,437,1651
04-27-2020,3517,432,1558
04-26-2020,3382,425,1508
04-25-2020,3256,419,1479
04-24-2020,3127,415,1408
04-23-2020,3007,407,1355
04-22-2020,2910,402,1204
04-21-2020,2811,392,1152
04-20-2020,2718,384,1099
04-19-2020,2629,375,1047
04-18-2020,2534,367,894
04-17-2020,2418,364,846
04-16-2020,2268,348,783
04-15-2020,2160,336,708
04-14-2020,2070,326,691
04-13-2020,1983,313,601
04-12-2020,1914,293,591
04-11-2020,1825,275,460
04-10-2020,1761,256,405
04-09-2020,1666,235,347
04-08-2020,1572,205,237
04-07-2020,1468,193,113
04-06-2020,1423,173,90
04-05-2020,1320,152,90
04-04-2020,1251,130,90
04-03-2020,1171,105,62
04-02-2020,986,86,61
04-01-2020,847,58,61
03-31-2020,716,44,46
03-30-2020,584,35,37
03-29-2020,511,31,31
03-28-2020,454,29,31
03-27-2020,409,26,29
03-26-2020,367,25,29
03-25-2020,302,21,65
03-24-2020,264,19,24
03-23-2020,230,17,65
03-22-2020,201,17,65
03-21-2020,139,15,32
03-20-2020,90,11,32
03-19-2020,87,9,32
03-18-2020,74,7,12
03-17-2020,60,4,12
03-16-2020,54,4,12
03-15-2020,48,4,12
03-14-2020,37,3,12
03-13-2020,26,2,8
03-12-2020,24,1,8
03-11-2020,20,0,0
03-10-2020,20,0,0
03-09-2020,20,0,0
03-08-2020,19,0,0
03-07-2020,17,0,0
03-06-2020,17,0,0
03-05-2020,12,0,0
03-04-2020,12,0,0
03-03-2020,5,0,0
03-02-2020,3,0,0
03-01-2020,1,0,0
02-29-2020,1,0,0
02-28-2020,1,0,0
02-27-2020,1,0,0
02-26-2020,1,0,0
02-25-2020,1,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
