,confirmed_cases,total_dead,recovered
06-20-2020,176,9,66
06-19-2020,172,8,66
06-18-2020,166,8,64
06-17-2020,155,7,64
06-16-2020,148,6,64
06-15-2020,142,6,64
06-14-2020,140,6,61
06-13-2020,138,6,61
06-12-2020,130,5,42
06-11-2020,118,5,41
06-10-2020,113,4,40
06-09-2020,96,4,38
06-08-2020,92,4,38
06-07-2020,91,4,24
06-06-2020,88,4,24
06-05-2020,86,4,21
06-04-2020,86,4,18
06-03-2020,86,4,18
06-02-2020,86,4,18
06-01-2020,86,4,18
05-31-2020,86,4,18
05-30-2020,84,4,18
05-29-2020,81,4,18
05-28-2020,74,4,18
05-27-2020,71,4,18
05-26-2020,70,4,18
05-25-2020,70,4,18
05-24-2020,69,4,18
05-23-2020,61,4,18
05-22-2020,60,3,17
05-21-2020,58,3,17
05-20-2020,52,3,17
05-19-2020,52,3,17
05-18-2020,50,3,17
05-17-2020,48,2,17
05-16-2020,48,2,17
05-15-2020,48,2,17
05-14-2020,48,2,14
05-13-2020,45,2,14
05-12-2020,45,2,13
05-11-2020,45,2,13
05-10-2020,45,2,13
05-09-2020,43,2,13
05-08-2020,43,2,11
05-07-2020,36,2,11
05-06-2020,36,2,11
05-05-2020,36,2,11
05-04-2020,35,2,11
05-03-2020,35,2,11
05-02-2020,35,2,11
05-01-2020,30,2,11
04-30-2020,27,2,7
04-29-2020,27,2,7
04-28-2020,27,2,6
04-27-2020,27,2,6
04-26-2020,26,2,6
04-25-2020,25,2,6
04-24-2020,25,2,6
04-23-2020,25,2,6
04-22-2020,25,2,6
04-21-2020,24,2,6
04-20-2020,24,2,6
04-19-2020,24,2,6
04-18-2020,24,2,6
04-17-2020,19,2,5
04-16-2020,19,2,5
04-15-2020,19,2,5
04-14-2020,19,2,5
04-13-2020,19,2,4
04-12-2020,19,2,4
04-11-2020,19,2,4
04-10-2020,19,2,2
04-09-2020,19,2,2
04-08-2020,19,2,2
04-07-2020,17,2,2
04-06-2020,16,2,2
04-05-2020,14,2,2
04-04-2020,10,2,2
04-03-2020,8,2,1
04-02-2020,8,2,1
04-01-2020,8,2,1
03-31-2020,7,2,1
03-30-2020,7,2,0
03-29-2020,7,2,0
03-28-2020,5,0,0
03-27-2020,4,0,0
03-26-2020,4,0,0
03-25-2020,3,0,0
03-24-2020,3,0,0
03-23-2020,3,0,0
03-22-2020,2,0,0
03-21-2020,2,0,0
03-20-2020,1,0,0
03-19-2020,0,0,0
03-18-2020,0,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
