,confirmed_cases,total_dead,recovered
06-01-2020,243,3,147
05-31-2020,232,3,143
05-30-2020,224,3,136
05-29-2020,224,3,136
05-28-2020,210,3,134
05-27-2020,210,3,134
05-26-2020,208,3,118
05-25-2020,191,3,84
05-24-2020,191,3,82
05-23-2020,135,3,61
05-22-2020,135,3,61
05-21-2020,135,3,61
05-20-2020,130,2,57
05-19-2020,130,2,83
05-18-2020,339,2,83
05-17-2020,339,2,83
05-16-2020,339,2,83
05-15-2020,339,2,83
05-14-2020,339,2,83
05-13-2020,327,2,83
05-12-2020,327,2,76
05-11-2020,319,2,62
05-10-2020,319,2,62
05-09-2020,284,2,62
05-08-2020,242,2,62
05-07-2020,140,2,53
05-06-2020,96,2,50
05-05-2020,96,2,50
05-04-2020,96,2,50
05-03-2020,90,2,42
05-02-2020,90,2,42
05-01-2020,90,2,42
04-30-2020,64,1,33
04-29-2020,64,1,33
04-28-2020,64,1,33
04-27-2020,64,1,33
04-26-2020,64,1,33
04-25-2020,54,1,27
04-24-2020,54,1,27
04-23-2020,54,1,27
04-22-2020,54,1,27
04-21-2020,54,1,27
04-20-2020,54,1,27
04-19-2020,35,1,18
04-18-2020,35,1,18
04-17-2020,35,1,18
04-16-2020,35,1,18
04-15-2020,35,1,18
04-14-2020,35,1,18
04-13-2020,35,1,5
04-12-2020,35,1,5
04-11-2020,35,1,5
04-10-2020,35,1,5
04-09-2020,26,1,5
04-08-2020,26,1,5
04-07-2020,26,1,5
04-06-2020,26,1,5
04-05-2020,22,0,5
04-04-2020,16,0,2
04-03-2020,16,0,2
04-02-2020,13,0,1
04-01-2020,13,0,1
03-31-2020,9,0,1
03-30-2020,6,0,0
03-29-2020,6,0,0
03-28-2020,6,0,0
03-27-2020,6,0,0
03-26-2020,6,0,0
03-25-2020,6,0,0
03-24-2020,6,0,0
03-23-2020,5,0,0
03-22-2020,2,0,0
03-21-2020,2,0,0
03-20-2020,2,0,0
03-19-2020,2,0,0
03-18-2020,2,0,0
03-17-2020,1,0,0
03-16-2020,1,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
