,confirmed_cases,total_dead,recovered,active_cases
05-25-2020,35,1,19,15
05-24-2020,35,1,19,15
05-23-2020,30,1,19,10
05-22-2020,30,1,19,10
05-21-2020,29,1,19,9
05-20-2020,25,1,17,7
05-19-2020,25,1,17,7
05-18-2020,25,1,17,7
05-17-2020,25,1,17,7
05-16-2020,24,1,17,6
05-15-2020,24,1,17,6
05-14-2020,24,1,17,6
05-13-2020,24,1,17,6
05-12-2020,24,1,17,6
05-11-2020,24,1,12,11
05-10-2020,23,1,12,10
05-09-2020,23,1,12,10
05-08-2020,23,1,9,13
05-07-2020,23,1,9,13
05-06-2020,23,1,8,14
05-05-2020,23,1,8,14
05-04-2020,23,1,8,14
05-03-2020,23,1,8,14
05-02-2020,23,1,8,14
05-01-2020,23,1,8,14
04-30-2020,23,1,5,17
04-29-2020,23,1,5,17
04-28-2020,23,1,0,22
04-27-2020,22,1,0,21
04-26-2020,22,1,0,21
04-25-2020,22,1,0,21
04-24-2020,22,1,0,21
04-23-2020,22,1,0,21
04-22-2020,22,1,0,21
04-21-2020,20,1,0,19
04-20-2020,20,1,0,19
04-19-2020,20,1,0,19
04-18-2020,15,1,0,14
04-17-2020,15,1,0,14
04-16-2020,15,1,0,14
04-15-2020,13,1,0,12
04-14-2020,13,1,0,12
04-13-2020,13,1,0,12
04-12-2020,13,1,0,12
04-11-2020,13,1,0,12
04-10-2020,13,1,0,12
04-09-2020,13,1,0,12
04-08-2020,6,1,0,5
04-07-2020,6,1,0,5
04-06-2020,6,1,0,5
04-05-2020,6,1,0,5
04-04-2020,4,1,0,3
04-03-2020,4,1,0,3
04-02-2020,4,1,0,3
04-01-2020,4,1,0,3
03-31-2020,4,1,0,3
03-30-2020,3,0,0,3
