,confirmed_cases,total_dead,recovered,active_cases
05-23-2020,814,52,672,90
05-22-2020,814,52,672,90
05-21-2020,812,52,669,91
05-20-2020,809,52,661,96
05-19-2020,796,51,652,93
05-18-2020,796,51,652,93
05-17-2020,796,51,644,101
05-16-2020,782,51,604,127
05-15-2020,780,51,595,134
05-14-2020,773,51,592,130
05-13-2020,773,51,592,130
05-12-2020,766,51,588,127
05-11-2020,760,50,584,126
05-10-2020,751,49,577,125
05-09-2020,748,48,569,131
05-08-2020,744,48,566,130
05-07-2020,736,48,562,126
05-06-2020,729,48,555,126
05-05-2020,688,48,548,92
05-04-2020,672,46,545,81
05-03-2020,662,45,540,77
05-02-2020,652,44,535,73
05-01-2020,649,44,517,88
04-30-2020,645,43,506,96
04-29-2020,641,43,498,100
04-28-2020,638,42,476,120
04-27-2020,635,42,469,124
04-26-2020,632,42,453,137
04-25-2020,629,41,442,146
04-24-2020,629,41,425,163
04-23-2020,616,41,410,165
04-22-2020,609,39,389,181
04-21-2020,600,38,362,200
04-20-2020,581,38,357,186
04-19-2020,576,36,338,202
04-18-2020,565,36,321,208
04-17-2020,557,35,294,228
04-16-2020,546,32,257,257
04-15-2020,542,32,226,284
04-14-2020,528,30,177,321
04-13-2020,497,27,161,309
04-12-2020,497,27,161,309
04-11-2020,484,27,155,302
04-10-2020,443,24,146,273
04-09-2020,443,24,146,273
04-08-2020,414,23,134,257
04-07-2020,384,19,127,238
04-06-2020,364,18,108,238
04-05-2020,345,17,90,238
04-04-2020,318,16,66,236
04-03-2020,302,16,50,236
04-02-2020,288,16,50,222
04-01-2020,282,16,46,220
03-31-2020,261,14,32,215
03-30-2020,246,12,31,203
03-29-2020,222,12,23,187
03-28-2020,207,11,21,175
03-27-2020,180,9,12,159
03-26-2020,152,7,10,135
03-25-2020,146,4,10,132
03-24-2020,114,4,7,103
03-23-2020,99,4,5,90
03-22-2020,75,4,5,66
