,confirmed_cases,total_dead,recovered,active_cases
05-31-2020,63,1,33,29
05-30-2020,63,1,33,29
05-29-2020,42,1,20,21
05-28-2020,42,1,20,21
05-27-2020,42,1,20,21
05-26-2020,42,1,20,21
05-25-2020,42,1,20,21
05-24-2020,42,1,20,21
05-23-2020,42,1,20,21
05-22-2020,42,1,20,21
05-21-2020,42,1,20,21
05-20-2020,42,1,20,21
05-19-2020,42,1,20,21
05-18-2020,42,1,20,21
05-17-2020,23,1,15,7
05-16-2020,15,1,7,7
05-15-2020,15,1,7,7
05-14-2020,15,1,7,7
05-13-2020,15,1,7,7
05-12-2020,15,1,7,7
05-11-2020,15,1,7,7
05-10-2020,15,1,7,7
05-09-2020,15,1,7,7
05-08-2020,15,1,7,7
05-07-2020,15,1,7,7
05-06-2020,15,1,7,7
05-05-2020,15,1,7,7
05-04-2020,15,1,7,7
05-03-2020,15,1,7,7
05-02-2020,15,1,7,7
05-01-2020,11,1,4,6
04-30-2020,11,1,4,6
04-29-2020,11,1,4,6
04-28-2020,11,1,4,6
04-27-2020,11,1,4,6
04-26-2020,11,1,4,6
04-25-2020,11,1,4,6
04-24-2020,11,1,4,6
04-23-2020,11,1,4,6
04-22-2020,11,1,4,6
04-21-2020,5,1,4,0
04-20-2020,5,1,4,0
04-19-2020,5,1,0,4
04-18-2020,5,1,0,4
04-17-2020,5,1,0,4
04-16-2020,5,1,0,4
04-15-2020,5,1,0,4
04-14-2020,5,1,0,4
04-13-2020,5,1,0,4
04-12-2020,5,0,0,5
04-11-2020,5,0,0,5
04-10-2020,3,0,0,3
04-09-2020,3,0,0,3
04-08-2020,3,0,0,3
04-07-2020,3,0,0,3
04-06-2020,3,0,0,3
04-05-2020,3,0,0,3
04-04-2020,3,0,0,3
04-03-2020,3,0,0,3
04-02-2020,3,0,0,3
04-01-2020,2,0,0,2
03-31-2020,2,0,0,2
