,confirmed_cases,total_dead,recovered,active_cases
06-05-2020,1451,4,29,1418
06-04-2020,1288,4,23,1261
06-03-2020,1173,4,23,1146
06-02-2020,1069,4,23,1042
06-01-2020,1069,4,23,1042
05-31-2020,1011,2,23,986
05-30-2020,962,1,23,938
05-29-2020,874,1,23,850
05-28-2020,755,1,23,731
05-27-2020,702,1,23,678
05-26-2020,671,1,22,648
05-25-2020,652,1,22,629
05-24-2020,604,1,22,581
05-23-2020,552,1,18,533
05-22-2020,479,0,18,461
05-21-2020,436,0,18,418
05-20-2020,418,0,18,400
05-19-2020,366,0,18,348
05-18-2020,327,0,13,314
05-17-2020,327,0,13,314
05-16-2020,327,0,13,314
05-15-2020,301,0,13,288
05-14-2020,143,0,10,133
05-13-2020,143,0,10,133
05-12-2020,143,0,10,133
05-11-2020,143,0,10,133
05-10-2020,143,0,10,133
05-09-2020,143,0,10,133
05-08-2020,143,0,10,133
05-07-2020,94,0,10,84
05-06-2020,94,0,10,84
05-05-2020,85,0,10,75
05-04-2020,85,0,10,75
05-03-2020,72,0,10,62
05-02-2020,72,0,10,62
05-01-2020,72,0,10,62
04-30-2020,50,0,10,40
04-29-2020,50,0,10,40
04-28-2020,50,0,10,40
04-27-2020,19,0,10,9
04-26-2020,19,0,10,9
04-25-2020,16,0,10,6
04-24-2020,16,0,10,6
04-23-2020,16,0,10,6
04-22-2020,14,0,10,4
04-21-2020,14,0,10,4
04-20-2020,12,0,4,8
04-19-2020,12,0,4,8
04-18-2020,12,0,4,8
04-17-2020,12,0,4,8
04-16-2020,12,0,4,8
04-15-2020,12,0,4,8
04-14-2020,11,0,4,7
04-13-2020,11,0,3,8
04-12-2020,8,0,0,8
04-11-2020,8,0,0,8
04-10-2020,8,0,0,8
04-09-2020,8,0,0,8
04-08-2020,8,0,0,8
04-07-2020,8,0,0,8
04-06-2020,8,0,0,8
04-05-2020,8,0,0,8
04-04-2020,8,0,0,8
04-03-2020,8,0,0,8
04-02-2020,3,0,0,3
04-01-2020,3,0,0,3
03-31-2020,3,0,0,3
03-30-2020,3,0,0,3
03-29-2020,3,0,0,3
03-28-2020,3,0,0,3
03-27-2020,3,0,0,3
03-26-2020,3,0,0,3
03-25-2020,3,0,0,3
03-24-2020,3,0,0,3
03-23-2020,3,0,0,3
03-22-2020,3,0,0,3
