,confirmed_cases,total_dead,recovered,active_cases
05-27-2020,87,2,24,61
05-26-2020,87,1,21,65
05-25-2020,87,1,21,65
05-24-2020,87,1,21,65
05-23-2020,78,1,18,59
05-22-2020,78,1,18,59
05-21-2020,34,1,8,25
05-20-2020,34,1,8,25
05-19-2020,11,1,3,7
05-18-2020,11,1,3,7
05-17-2020,11,1,3,7
05-16-2020,11,1,3,7
05-15-2020,11,1,3,7
05-14-2020,11,1,3,7
05-13-2020,11,1,0,10
05-12-2020,11,1,0,10
05-11-2020,11,1,0,10
05-10-2020,11,1,0,10
05-09-2020,11,1,0,10
05-08-2020,8,1,0,7
05-07-2020,8,1,0,7
05-06-2020,8,1,0,7
05-05-2020,3,0,0,3
05-04-2020,3,0,0,3
05-03-2020,3,0,0,3
05-02-2020,3,0,0,3
05-01-2020,1,0,0,1
04-30-2020,1,0,0,1
