,confirmed_cases,total_dead,recovered
06-18-2020,50437,1938,13528
06-17-2020,49219,1850,13141
06-16-2020,47856,1766,12730
06-15-2020,46289,1672,12329
06-14-2020,44598,1575,11931
06-13-2020,42980,1484,11529
06-12-2020,41303,1422,11108
06-11-2020,39726,1377,10691
06-10-2020,38284,1342,10289
06-09-2020,36829,1306,9786
06-08-2020,35444,1271,9375
06-07-2020,34079,1237,8961
06-06-2020,32612,1198,8538
06-05-2020,31115,1166,8158
06-04-2020,29767,1126,7756
06-03-2020,28615,1088,7350
06-02-2020,27536,1052,6827
06-01-2020,26384,1005,6447
05-31-2020,24985,959,6037
05-30-2020,23449,913,5693
05-29-2020,22082,879,5511
05-28-2020,20793,845,5359
05-27-2020,19666,816,5205
05-26-2020,18756,797,5027
05-25-2020,17967,783,4900
05-24-2020,17265,764,4807
05-23-2020,16513,735,4628
05-22-2020,15786,707,4374
05-21-2020,15003,696,4217
05-20-2020,14229,680,3994
05-19-2020,13484,659,3742
05-18-2020,12764,645,3440
05-17-2020,12229,630,3172
05-16-2020,11719,612,2950
05-15-2020,11228,592,2799
05-14-2020,10829,571,2626
05-13-2020,10431,556,2486
05-12-2020,10093,544,2326
05-11-2020,9746,533,2172
05-10-2020,9400,525,2075
05-09-2020,8964,514,2002
05-08-2020,8476,503,1945
05-07-2020,7981,482,1887
05-06-2020,7588,469,1815
05-05-2020,7201,452,1730
05-04-2020,6813,436,1632
05-03-2020,6465,429,1562
05-02-2020,6193,415,1522
05-01-2020,5895,406,1460
04-30-2020,5537,392,1381
04-29-2020,5268,380,1335
04-28-2020,5042,359,1304
04-27-2020,4782,337,1236
04-26-2020,4534,317,1176
04-25-2020,4319,307,1114
04-24-2020,4092,294,1075
04-23-2020,3891,287,1004
04-22-2020,3659,276,935
04-21-2020,3490,264,870
04-20-2020,3333,250,821
04-19-2020,3144,239,732
04-18-2020,3032,224,701
04-17-2020,2844,205,646
04-16-2020,2673,196,596
04-15-2020,2505,183,589
04-14-2020,2350,178,589
04-13-2020,2190,164,589
04-12-2020,2065,159,589
04-11-2020,1939,146,426
04-10-2020,1794,135,384
04-09-2020,1699,118,348
04-08-2020,1560,103,305
04-07-2020,1450,94,276
04-06-2020,1322,85,259
04-05-2020,1173,78,247
04-04-2020,1070,71,241
04-03-2020,985,66,216
04-02-2020,865,58,201
04-01-2020,779,52,179
03-31-2020,710,46,157
03-30-2020,656,41,150
03-29-2020,609,40,132
03-28-2020,576,36,121
03-27-2020,536,30,116
03-26-2020,495,24,102
03-25-2020,456,21,95
03-24-2020,402,20,80
03-23-2020,366,19,68
03-22-2020,327,14,56
03-21-2020,294,10,41
03-20-2020,285,8,39
03-19-2020,256,6,32
03-18-2020,196,6,32
03-17-2020,196,4,32
03-16-2020,150,2,27
03-15-2020,110,2,21
03-14-2020,109,2,27
03-13-2020,80,2,27
03-12-2020,67,1,27
03-11-2020,60,1,27
03-10-2020,59,1,1
03-09-2020,55,1,12
03-08-2020,49,1,1
03-07-2020,15,0,1
03-06-2020,15,0,1
03-05-2020,3,0,1
03-04-2020,2,0,1
03-03-2020,2,0,1
03-02-2020,2,0,1
03-01-2020,2,0,1
02-29-2020,1,0,1
02-28-2020,1,0,1
02-27-2020,1,0,0
02-26-2020,1,0,0
02-25-2020,1,0,0
02-24-2020,1,0,0
02-23-2020,1,0,0
02-22-2020,1,0,0
02-21-2020,1,0,0
02-20-2020,1,0,0
02-19-2020,1,0,0
02-18-2020,1,0,0
02-17-2020,1,0,0
02-16-2020,1,0,0
02-15-2020,1,0,0
02-14-2020,1,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
