,confirmed_cases,total_dead,recovered
06-20-2020,627,5,285
06-19-2020,623,4,276
06-18-2020,586,4,267
06-17-2020,563,4,262
06-16-2020,520,4,259
06-15-2020,506,4,249
06-14-2020,490,4,249
06-13-2020,486,3,247
06-12-2020,472,3,246
06-11-2020,449,3,238
06-10-2020,398,3,236
06-09-2020,371,3,232
06-08-2020,340,3,229
06-07-2020,333,3,225
06-06-2020,322,3,224
06-05-2020,305,3,221
06-04-2020,300,3,201
06-03-2020,295,3,201
06-02-2020,294,3,198
06-01-2020,293,3,194
05-31-2020,285,2,189
05-30-2020,283,2,168
05-29-2020,279,2,168
05-28-2020,279,2,168
05-27-2020,272,2,168
05-26-2020,261,2,164
05-25-2020,256,2,158
05-24-2020,250,2,156
05-23-2020,238,2,119
05-22-2020,225,2,119
05-21-2020,220,2,112
05-20-2020,217,2,97
05-19-2020,208,2,87
05-18-2020,205,2,78
05-17-2020,203,2,73
05-16-2020,202,2,72
05-15-2020,190,2,66
05-14-2020,187,2,51
05-13-2020,187,2,48
05-12-2020,184,2,28
05-11-2020,175,2,28
05-10-2020,172,2,27
05-09-2020,163,2,14
05-08-2020,159,2,12
05-07-2020,153,2,12
05-06-2020,123,2,12
05-05-2020,119,1,12
05-04-2020,116,1,12
05-03-2020,112,1,12
05-02-2020,108,1,12
05-01-2020,106,1,12
04-30-2020,100,1,12
04-29-2020,91,1,10
04-28-2020,71,1,10
04-27-2020,65,1,10
04-26-2020,59,1,10
04-25-2020,56,1,10
04-24-2020,36,1,10
04-23-2020,31,1,8
04-22-2020,31,1,8
04-21-2020,31,1,8
04-20-2020,24,1,8
04-19-2020,22,1,8
04-18-2020,22,1,8
04-17-2020,16,1,8
04-16-2020,16,1,8
04-15-2020,15,0,8
04-14-2020,15,0,8
04-13-2020,15,0,7
04-12-2020,14,0,7
04-11-2020,12,0,7
04-10-2020,12,0,7
04-09-2020,12,0,7
04-08-2020,12,0,7
04-07-2020,10,0,4
04-06-2020,10,0,4
04-05-2020,9,0,0
04-04-2020,9,0,0
04-03-2020,9,0,0
04-02-2020,9,0,0
04-01-2020,9,0,0
03-31-2020,9,0,0
03-30-2020,9,0,0
03-29-2020,9,0,0
03-28-2020,9,0,0
03-27-2020,9,0,0
03-26-2020,6,0,0
03-25-2020,4,0,0
03-24-2020,4,0,0
03-23-2020,4,0,0
03-22-2020,4,0,0
03-21-2020,1,0,0
03-20-2020,1,0,0
03-19-2020,1,0,0
03-18-2020,1,0,0
03-17-2020,1,0,0
03-16-2020,1,0,0
03-15-2020,1,0,0
03-14-2020,1,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
