,confirmed_cases,total_dead,recovered
06-02-2020,1344,14,231
06-01-2020,1257,12,217
05-31-2020,1172,11,209
05-30-2020,1063,8,208
05-29-2020,968,8,197
05-28-2020,831,7,191
05-27-2020,731,6,181
05-26-2020,701,6,167
05-25-2020,655,5,159
05-24-2020,582,5,152
05-23-2020,494,5,151
05-22-2020,433,5,128
05-21-2020,399,5,123
05-20-2020,389,5,122
05-19-2020,365,5,120
05-18-2020,352,5,116
05-17-2020,317,5,113
05-16-2020,306,5,113
05-15-2020,287,5,112
05-14-2020,272,5,108
05-13-2020,263,5,108
05-12-2020,261,5,106
05-11-2020,250,5,105
05-10-2020,239,5,99
05-09-2020,210,5,97
05-08-2020,194,4,95
05-07-2020,191,4,93
05-06-2020,162,4,93
05-05-2020,145,4,91
05-04-2020,140,3,75
05-03-2020,135,3,75
05-02-2020,133,3,69
05-01-2020,133,3,66
04-30-2020,131,3,59
04-29-2020,130,3,58
04-28-2020,126,3,50
04-27-2020,124,3,50
04-26-2020,123,3,41
04-25-2020,122,3,29
04-24-2020,117,3,25
04-23-2020,116,3,21
04-22-2020,116,3,21
04-21-2020,114,3,16
04-20-2020,111,3,16
04-19-2020,108,3,16
04-18-2020,105,3,16
04-17-2020,96,3,15
04-16-2020,92,3,15
04-15-2020,85,3,15
04-14-2020,82,3,14
04-13-2020,74,3,14
04-12-2020,71,3,10
04-11-2020,69,3,10
04-10-2020,65,3,4
04-09-2020,56,2,4
04-08-2020,55,2,4
04-07-2020,52,2,4
04-06-2020,44,2,4
04-05-2020,43,2,4
04-04-2020,38,0,4
04-03-2020,35,0,3
04-02-2020,29,0,3
04-01-2020,29,0,2
03-31-2020,26,0,2
03-30-2020,23,0,4
03-29-2020,21,0,1
03-28-2020,16,0,1
03-27-2020,16,0,0
03-26-2020,12,0,0
03-25-2020,12,0,0
03-24-2020,12,0,0
03-23-2020,11,0,0
03-22-2020,11,0,0
03-21-2020,9,0,0
03-20-2020,9,0,0
03-19-2020,6,0,0
03-18-2020,6,0,0
03-17-2020,5,0,0
03-16-2020,5,0,0
03-15-2020,1,0,0
03-14-2020,1,0,0
03-13-2020,1,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
