,confirmed_cases,total_dead,recovered,active_cases
05-23-2020,25,1,13,11
05-22-2020,25,1,13,11
05-21-2020,24,1,13,10
05-20-2020,24,1,13,10
05-19-2020,24,1,13,10
05-18-2020,24,1,13,10
05-17-2020,23,1,12,10
05-16-2020,23,1,12,10
05-15-2020,23,1,10,12
05-14-2020,23,1,10,12
05-13-2020,23,1,10,12
05-12-2020,22,1,10,11
05-11-2020,22,1,10,11
05-10-2020,20,1,9,10
05-09-2020,20,1,9,10
05-08-2020,20,1,9,10
05-07-2020,18,1,9,8
05-06-2020,17,1,9,7
05-05-2020,17,1,9,7
05-04-2020,17,1,9,7
05-03-2020,17,1,9,7
05-02-2020,17,1,9,7
05-01-2020,12,1,8,3
04-30-2020,11,1,8,2
04-29-2020,10,1,8,1
04-28-2020,10,1,8,1
04-27-2020,10,1,8,1
04-26-2020,10,1,8,1
04-25-2020,10,1,8,1
04-24-2020,10,1,8,1
04-23-2020,10,1,2,7
04-22-2020,10,1,2,7
04-21-2020,10,1,2,7
04-20-2020,10,1,2,7
04-19-2020,10,1,2,7
04-18-2020,9,1,2,6
04-17-2020,9,1,2,6
04-16-2020,9,1,2,6
04-15-2020,9,1,2,6
04-14-2020,9,1,2,6
04-13-2020,9,1,2,6
04-12-2020,9,1,2,6
04-11-2020,9,1,2,6
04-10-2020,4,1,2,1
04-09-2020,4,1,2,1
04-08-2020,4,1,2,1
04-07-2020,4,1,2,1
04-06-2020,4,1,2,1
04-05-2020,4,1,2,1
04-04-2020,4,1,2,1
04-03-2020,4,1,2,1
04-02-2020,4,1,2,1
04-01-2020,4,1,2,1
03-31-2020,4,1,0,3
03-30-2020,4,1,0,3
03-29-2020,4,1,0,3
03-28-2020,3,1,0,2
03-27-2020,3,1,0,2
03-26-2020,3,1,0,2
03-25-2020,3,1,0,2
03-24-2020,3,1,0,2
03-23-2020,2,1,0,1
03-22-2020,1,0,0,1
