,confirmed_cases,total_dead,recovered
06-14-2020,11964,54,4258
06-13-2020,11118,48,3979
06-12-2020,10856,48,3921
06-11-2020,10358,48,3824
06-10-2020,10201,48,3755
06-09-2020,10201,48,3755
06-08-2020,9910,48,3645
06-07-2020,9638,44,3636
06-06-2020,9462,44,3547
06-05-2020,9168,42,3457
06-04-2020,8885,38,3189
06-03-2020,8548,38,3132
06-02-2020,8297,38,2986
06-01-2020,8070,36,2947
05-31-2020,8070,36,2947
05-30-2020,7768,35,2540
05-29-2020,7616,34,2421
05-28-2020,7303,34,2412
05-27-2020,7303,34,2412
05-26-2020,7117,34,2317
05-25-2020,6808,32,2070
05-24-2020,6683,32,1998
05-23-2020,6617,31,1978
05-22-2020,6486,31,1951
05-21-2020,6269,31,1898
05-20-2020,6269,31,1898
05-19-2020,6096,31,1773
05-18-2020,5735,29,1754
05-17-2020,5735,29,1754
05-16-2020,5735,29,1754
05-15-2020,5638,28,1460
05-14-2020,5530,24,674
05-13-2020,5408,24,514
05-12-2020,5127,22,494
05-11-2020,4700,22,494
05-10-2020,4263,22,378
05-09-2020,4263,22,378
05-08-2020,4012,18,323
05-07-2020,3091,18,303
05-06-2020,3091,18,294
05-05-2020,2719,18,294
05-04-2020,2719,18,294
05-03-2020,2169,18,229
05-02-2020,2169,18,229
05-01-2020,2074,17,212
04-30-2020,2074,17,212
04-29-2020,1671,16,188
04-28-2020,1671,16,188
04-27-2020,1550,11,155
04-26-2020,1550,11,155
04-25-2020,1279,10,134
04-24-2020,1279,10,134
04-23-2020,1154,9,99
04-22-2020,1154,9,99
04-21-2020,1042,9,99
04-20-2020,1042,9,99
04-19-2020,1042,9,99
04-18-2020,834,9,99
04-17-2020,641,8,83
04-16-2020,641,8,83
04-15-2020,636,8,17
04-14-2020,636,8,17
04-13-2020,566,8,4
04-12-2020,566,8,4
04-11-2020,408,8,4
04-10-2020,378,6,4
04-09-2020,378,6,3
04-08-2020,313,6,34
04-07-2020,287,5,31
04-06-2020,214,5,31
04-05-2020,214,5,31
04-04-2020,205,5,31
04-03-2020,205,5,31
04-02-2020,204,5,31
04-01-2020,195,5,31
03-31-2020,161,5,31
03-30-2020,152,5,2
03-29-2020,152,5,2
03-28-2020,141,5,2
03-27-2020,137,4,2
03-26-2020,132,4,1
03-25-2020,93,4,0
03-24-2020,53,2,0
03-23-2020,27,2,0
03-22-2020,23,1,0
03-21-2020,19,1,0
03-20-2020,16,0,0
03-19-2020,11,0,0
03-18-2020,7,0,0
03-17-2020,7,0,0
03-16-2020,6,0,0
03-15-2020,6,0,0
03-14-2020,3,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
