,confirmed_cases,total_dead,recovered
06-14-2020,1460,15,153
06-13-2020,1460,15,153
06-12-2020,1460,15,153
06-11-2020,1389,12,153
06-10-2020,1389,12,153
06-09-2020,1389,12,153
06-08-2020,1389,12,153
06-07-2020,1368,12,153
06-06-2020,1368,12,153
06-05-2020,1368,12,153
06-04-2020,1339,8,53
06-03-2020,1339,8,53
06-02-2020,1339,8,53
06-01-2020,1339,8,53
05-31-2020,1256,8,42
05-30-2020,1256,8,42
05-29-2020,1256,8,42
05-28-2020,1195,8,42
05-27-2020,1195,7,42
05-26-2020,1178,7,42
05-25-2020,1178,7,42
05-24-2020,1114,6,42
05-23-2020,1114,6,42
05-22-2020,1114,6,42
05-21-2020,1109,6,42
05-20-2020,1089,6,42
05-19-2020,1038,6,42
05-18-2020,1032,4,38
05-17-2020,990,4,26
05-16-2020,969,4,26
05-15-2020,913,3,26
05-14-2020,913,3,26
05-13-2020,836,3,26
05-12-2020,820,3,26
05-11-2020,761,3,26
05-10-2020,726,3,26
05-09-2020,641,3,25
05-08-2020,594,2,25
05-07-2020,564,2,25
05-06-2020,475,2,24
05-05-2020,413,1,19
05-04-2020,413,1,19
05-03-2020,257,1,19
05-02-2020,257,1,19
05-01-2020,257,1,19
04-30-2020,205,1,19
04-29-2020,205,1,19
04-28-2020,73,1,18
04-27-2020,73,1,18
04-26-2020,53,1,3
04-25-2020,52,0,3
04-24-2020,52,0,3
04-23-2020,50,0,3
04-22-2020,50,0,3
04-21-2020,50,0,3
04-20-2020,50,0,3
04-19-2020,50,0,3
04-18-2020,46,0,0
04-17-2020,43,0,0
04-16-2020,43,0,0
04-15-2020,43,0,0
04-14-2020,38,0,0
04-13-2020,38,0,0
04-12-2020,38,0,0
04-11-2020,38,0,0
04-10-2020,36,0,0
04-09-2020,36,0,0
04-08-2020,33,0,0
04-07-2020,33,0,0
04-06-2020,18,0,0
04-05-2020,18,0,0
04-04-2020,18,0,0
04-03-2020,15,0,0
04-02-2020,9,0,0
04-01-2020,9,0,0
03-31-2020,8,0,0
03-30-2020,8,0,0
03-29-2020,2,0,0
03-28-2020,2,0,0
03-27-2020,2,0,0
03-26-2020,2,0,0
03-25-2020,2,0,0
03-24-2020,0,0,0
03-23-2020,0,0,0
03-22-2020,0,0,0
03-21-2020,0,0,0
03-20-2020,0,0,0
03-19-2020,0,0,0
03-18-2020,0,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
