,confirmed_cases,total_dead,recovered
06-20-2020,4960,27,3630
06-19-2020,4904,27,3522
06-18-2020,4841,26,3467
06-17-2020,4668,26,3364
06-16-2020,4639,26,3327
06-15-2020,4572,26,3259
06-14-2020,4532,25,3234
06-13-2020,4484,25,3213
06-12-2020,4426,24,3106
06-11-2020,4372,23,3033
06-10-2020,4258,23,2942
06-09-2020,4258,23,2942
06-08-2020,4216,23,2918
06-07-2020,4117,23,2877
06-06-2020,4117,23,2857
06-05-2020,4060,23,2667
06-04-2020,3991,23,2512
06-03-2020,3933,23,2332
06-02-2020,3886,23,2267
06-01-2020,3844,23,2135
05-31-2020,3706,23,2030
05-30-2020,3706,23,2030
05-29-2020,3656,22,2000
05-28-2020,3553,22,1950
05-27-2020,3275,20,1673
05-26-2020,3275,20,1673
05-25-2020,3275,20,1673
05-24-2020,3275,20,1673
05-23-2020,3176,20,1631
05-22-2020,3067,19,1575
05-21-2020,3067,18,1575
05-20-2020,2863,18,1525
05-19-2020,2863,18,1525
05-18-2020,2796,16,1263
05-17-2020,2658,16,1133
05-16-2020,2658,16,1133
05-15-2020,2473,15,895
05-14-2020,2473,15,895
05-13-2020,2374,14,856
05-12-2020,2298,11,816
05-11-2020,2146,11,714
05-10-2020,2146,11,714
05-09-2020,2042,11,698
05-08-2020,2009,11,663
05-07-2020,1927,11,629
05-06-2020,1856,11,597
05-05-2020,1811,10,498
05-04-2020,1710,9,450
05-03-2020,1586,7,405
05-02-2020,1586,7,405
05-01-2020,1537,7,342
04-30-2020,1495,7,329
04-29-2020,1351,7,313
04-28-2020,1240,7,269
04-27-2020,1163,7,246
04-26-2020,996,7,208
04-25-2020,996,7,208
04-24-2020,954,6,191
04-23-2020,862,6,170
04-22-2020,761,6,164
04-21-2020,688,6,127
04-20-2020,622,5,122
04-19-2020,579,5,87
04-18-2020,518,3,65
04-17-2020,477,3,59
04-16-2020,438,1,49
04-15-2020,404,1,31
04-14-2020,363,0,31
04-13-2020,319,0,17
04-12-2020,250,0,17
04-11-2020,250,0,17
04-10-2020,212,0,15
04-09-2020,194,0,11
04-08-2020,164,0,5
04-07-2020,144,0,5
04-06-2020,128,0,5
04-05-2020,121,0,5
04-04-2020,111,0,5
04-03-2020,73,0,2
04-02-2020,52,0,0
04-01-2020,30,0,0
03-31-2020,22,0,0
03-30-2020,22,0,0
03-29-2020,16,0,0
03-28-2020,8,0,0
03-27-2020,8,0,0
03-26-2020,4,0,0
03-25-2020,4,0,0
03-24-2020,4,0,0
03-23-2020,4,0,0
03-22-2020,2,0,0
03-21-2020,2,0,0
03-20-2020,1,0,0
03-19-2020,1,0,0
03-18-2020,1,0,0
03-17-2020,1,0,0
03-16-2020,1,0,0
03-15-2020,1,0,0
03-14-2020,1,0,0
03-13-2020,1,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
