,confirmed_cases,total_dead,recovered
06-07-2020,1052,9,233
06-06-2020,1026,8,212
06-05-2020,975,7,201
06-04-2020,957,7,200
06-03-2020,908,6,195
06-02-2020,845,6,185
06-01-2020,826,6,174
05-31-2020,771,6,168
05-30-2020,758,6,165
05-29-2020,698,5,164
05-28-2020,656,2,154
05-27-2020,612,2,151
05-26-2020,586,2,147
05-25-2020,542,2,147
05-24-2020,527,2,142
05-23-2020,488,2,138
05-22-2020,448,2,135
05-21-2020,405,2,131
05-20-2020,371,2,131
05-19-2020,326,2,119
05-18-2020,322,1,119
05-17-2020,304,1,114
05-16-2020,283,0,114
05-15-2020,238,0,112
05-14-2020,230,0,108
05-13-2020,212,0,107
05-12-2020,186,0,101
05-11-2020,186,0,101
05-10-2020,193,0,101
05-09-2020,193,0,101
05-08-2020,193,0,101
05-07-2020,193,0,101
05-06-2020,158,0,101
05-05-2020,151,0,101
05-04-2020,149,0,99
05-03-2020,149,0,98
05-02-2020,135,0,97
05-01-2020,132,0,94
04-30-2020,128,0,92
04-29-2020,128,0,90
04-28-2020,128,0,82
04-27-2020,128,0,75
04-26-2020,124,0,71
04-25-2020,123,0,62
04-24-2020,122,0,61
04-23-2020,121,0,58
04-22-2020,121,0,52
04-21-2020,121,0,44
04-20-2020,121,0,41
04-19-2020,121,0,39
04-18-2020,120,0,35
04-17-2020,117,0,33
04-16-2020,111,0,33
04-15-2020,110,0,29
04-14-2020,108,0,23
04-13-2020,106,0,21
04-12-2020,106,0,20
04-11-2020,102,0,11
04-10-2020,93,0,11
04-09-2020,93,0,11
04-08-2020,93,0,11
04-07-2020,88,0,7
04-06-2020,82,0,2
04-05-2020,72,0,2
04-04-2020,70,0,0
04-03-2020,70,0,0
04-02-2020,59,0,0
04-01-2020,57,0,0
03-31-2020,57,0,0
03-30-2020,43,0,0
03-29-2020,39,0,0
03-28-2020,26,0,0
03-27-2020,26,0,0
03-26-2020,23,0,0
03-25-2020,19,0,0
03-24-2020,17,0,0
03-23-2020,12,0,0
03-22-2020,3,0,0
03-21-2020,3,0,0
03-20-2020,3,0,0
03-19-2020,0,0,0
03-18-2020,0,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
