,confirmed_cases,total_dead,recovered
06-01-2020,336,4,42
05-31-2020,284,4,42
05-30-2020,279,4,42
05-29-2020,273,4,42
05-28-2020,203,4,37
05-27-2020,101,4,37
05-26-2020,101,4,37
05-25-2020,101,4,33
05-24-2020,83,4,33
05-23-2020,82,3,28
05-22-2020,82,3,28
05-21-2020,72,3,27
05-20-2020,71,3,27
05-19-2020,70,3,27
05-18-2020,70,3,27
05-17-2020,70,3,27
05-16-2020,65,3,24
05-15-2020,63,3,24
05-14-2020,63,3,24
05-13-2020,63,3,24
05-12-2020,57,3,24
05-11-2020,57,3,24
05-10-2020,56,3,14
05-09-2020,56,3,14
05-08-2020,43,3,14
05-07-2020,43,3,14
05-06-2020,43,3,9
05-05-2020,41,3,9
05-04-2020,41,3,9
05-03-2020,39,3,9
05-02-2020,38,3,9
05-01-2020,37,3,9
04-30-2020,37,3,7
04-29-2020,36,3,7
04-28-2020,36,3,5
04-27-2020,36,3,4
04-26-2020,34,3,4
04-25-2020,33,3,4
04-24-2020,33,3,4
04-23-2020,33,3,3
04-22-2020,23,3,3
04-21-2020,18,2,3
04-20-2020,17,2,3
04-19-2020,17,2,3
04-18-2020,17,2,3
04-17-2020,17,2,3
04-16-2020,16,2,0
04-15-2020,16,2,0
04-14-2020,16,2,0
04-13-2020,16,2,0
04-12-2020,13,2,0
04-11-2020,12,2,0
04-10-2020,9,1,0
04-09-2020,8,1,0
04-08-2020,8,1,0
04-07-2020,8,1,0
04-06-2020,5,0,0
04-05-2020,4,0,0
04-04-2020,4,0,0
04-03-2020,3,0,0
04-02-2020,3,0,0
04-01-2020,0,0,0
03-31-2020,0,0,0
03-30-2020,0,0,0
03-29-2020,0,0,0
03-28-2020,0,0,0
03-27-2020,0,0,0
03-26-2020,0,0,0
03-25-2020,0,0,0
03-24-2020,0,0,0
03-23-2020,0,0,0
03-22-2020,0,0,0
03-21-2020,0,0,0
03-20-2020,0,0,0
03-19-2020,0,0,0
03-18-2020,0,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
