,confirmed_cases,total_dead,recovered
06-19-2020,1923,108,1217
06-18-2020,1906,107,1192
06-17-2020,1890,107,1168
06-16-2020,1885,104,1145
06-15-2020,1860,104,1125
06-14-2020,1809,104,1088
06-13-2020,1776,104,1058
06-12-2020,1752,101,1023
06-11-2020,1722,97,989
06-10-2020,1667,96,948
06-09-2020,1586,94,931
06-08-2020,1547,92,916
06-07-2020,1533,90,873
06-06-2020,1523,90,845
06-05-2020,1485,87,816
06-04-2020,1461,85,806
06-03-2020,1386,79,788
06-02-2020,1351,78,769
06-01-2020,1315,78,744
05-31-2020,1265,77,716
05-30-2020,1250,76,696
05-29-2020,1226,73,669
05-28-2020,1194,72,652
05-27-2020,1116,70,632
05-26-2020,1077,70,617
05-25-2020,1059,67,604
05-24-2020,1030,65,597
05-23-2020,1015,63,574
05-22-2020,969,62,560
05-21-2020,947,60,558
05-20-2020,931,55,543
05-19-2020,901,53,529
05-18-2020,874,52,512
05-17-2020,860,52,494
05-16-2020,835,48,479
05-15-2020,806,46,455
05-14-2020,779,46,436
05-13-2020,758,44,412
05-12-2020,730,40,398
05-11-2020,712,39,377
05-10-2020,704,38,351
05-09-2020,692,37,298
05-08-2020,668,35,285
05-07-2020,650,32,271
05-06-2020,631,32,261
05-05-2020,612,32,228
05-04-2020,580,29,223
05-03-2020,563,27,213
05-02-2020,544,26,206
05-01-2020,508,26,196
04-30-2020,490,26,135
04-29-2020,482,25,129
04-28-2020,424,24,122
04-27-2020,408,23,113
04-26-2020,389,23,112
04-25-2020,370,21,91
04-24-2020,325,21,87
04-23-2020,309,21,77
04-22-2020,293,17,73
04-21-2020,258,14,57
04-20-2020,246,14,56
04-19-2020,224,14,42
04-18-2020,216,13,41
04-17-2020,171,13,34
04-16-2020,171,13,34
04-15-2020,148,13,34
04-14-2020,144,13,34
04-13-2020,123,10,26
04-12-2020,105,9,22
04-11-2020,87,7,22
04-10-2020,87,7,22
04-09-2020,74,7,22
04-08-2020,59,7,16
04-07-2020,56,5,12
04-06-2020,47,5,9
04-05-2020,45,5,1
04-04-2020,41,3,1
04-03-2020,39,3,0
04-02-2020,36,3,0
04-01-2020,31,3,0
03-31-2020,28,2,0
03-30-2020,25,2,0
03-29-2020,18,1,0
03-28-2020,18,0,0
03-27-2020,11,0,0
03-26-2020,4,0,0
03-25-2020,2,0,0
03-24-2020,0,0,0
03-23-2020,0,0,0
03-22-2020,0,0,0
03-21-2020,0,0,0
03-20-2020,0,0,0
03-19-2020,0,0,0
03-18-2020,0,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
