,confirmed_cases,total_dead,recovered
06-23-2020,340,10,326
06-22-2020,340,10,326
06-21-2020,337,10,326
06-20-2020,337,10,326
06-19-2020,337,10,325
06-18-2020,337,10,325
06-17-2020,337,10,325
06-16-2020,337,10,325
06-15-2020,337,10,325
06-14-2020,337,10,325
06-13-2020,337,10,325
06-12-2020,337,10,325
06-11-2020,337,10,325
06-10-2020,337,10,325
06-09-2020,337,10,324
06-08-2020,337,10,324
06-07-2020,337,10,324
06-06-2020,337,10,324
06-05-2020,337,10,324
06-04-2020,335,10,322
06-03-2020,335,10,322
06-02-2020,335,10,322
06-01-2020,335,10,322
05-31-2020,335,10,322
05-30-2020,335,10,322
05-29-2020,335,10,322
05-28-2020,334,10,322
05-27-2020,334,10,322
05-26-2020,334,10,322
05-25-2020,334,10,322
05-24-2020,334,10,322
05-23-2020,332,10,322
05-22-2020,332,10,322
05-21-2020,332,10,322
05-20-2020,332,10,322
05-19-2020,332,10,322
05-18-2020,332,10,322
05-17-2020,332,10,322
05-16-2020,332,10,322
05-15-2020,332,10,322
05-14-2020,332,10,322
05-13-2020,332,10,322
05-12-2020,332,10,322
05-11-2020,332,10,322
05-10-2020,332,10,320
05-09-2020,332,10,320
05-08-2020,332,10,320
05-07-2020,332,10,320
05-06-2020,332,10,320
05-05-2020,332,10,319
05-04-2020,332,10,316
05-03-2020,332,10,315
05-02-2020,332,10,314
05-01-2020,332,10,312
04-30-2020,332,10,310
04-29-2020,332,10,306
04-28-2020,334,10,303
04-27-2020,334,10,302
04-26-2020,332,9,299
04-25-2020,331,9,295
04-24-2020,331,9,285
04-23-2020,331,9,266
04-22-2020,329,9,261
04-21-2020,328,9,243
04-20-2020,328,9,224
04-19-2020,328,9,208
04-18-2020,325,9,180
04-17-2020,324,9,108
04-16-2020,324,9,81
04-15-2020,324,9,65
04-14-2020,324,9,51
04-13-2020,324,9,42
04-12-2020,324,9,42
04-11-2020,319,9,28
04-10-2020,318,9,23
04-09-2020,314,7,23
04-08-2020,273,7,19
04-07-2020,268,7,8
04-06-2020,244,7,7
04-05-2020,227,7,7
04-04-2020,196,7,7
04-03-2020,186,7,0
04-02-2020,169,7,0
04-01-2020,161,6,0
03-31-2020,143,5,0
03-30-2020,128,3,0
03-29-2020,107,3,0
03-28-2020,102,2,0
03-27-2020,94,2,0
03-26-2020,81,2,0
03-25-2020,48,2,0
03-24-2020,42,2,0
03-23-2020,36,2,0
03-22-2020,28,2,0
03-21-2020,14,1,0
03-20-2020,12,0,0
03-19-2020,3,0,0
03-18-2020,3,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
