,confirmed_cases,total_dead,recovered
06-19-2020,9613,213,8117
06-18-2020,9074,213,8041
06-17-2020,8997,213,7993
06-16-2020,8931,212,7937
06-15-2020,8885,212,7828
06-14-2020,8793,212,7765
06-13-2020,8692,212,7696
06-12-2020,8610,212,7618
06-11-2020,8537,211,7583
06-10-2020,8508,211,7565
06-09-2020,8437,210,7493
06-08-2020,8302,208,7408
06-07-2020,8224,208,7364
06-06-2020,8151,208,7315
06-05-2020,8071,208,7268
06-04-2020,8003,208,7195
06-03-2020,7922,206,6866
06-02-2020,7866,206,6410
06-01-2020,7833,205,5893
05-31-2020,7807,205,5459
05-30-2020,7780,204,5401
05-29-2020,7714,202,5271
05-28-2020,7643,202,5195
05-27-2020,7601,202,4978
05-26-2020,7577,202,4881
05-25-2020,7532,200,4774
05-24-2020,7433,199,4703
05-23-2020,7406,198,4638
05-22-2020,7332,197,4377
05-21-2020,7211,196,4280
05-20-2020,7133,194,4098
05-19-2020,7023,193,3901
05-18-2020,6952,192,3758
05-17-2020,6870,192,3660
05-16-2020,6741,192,3487
05-15-2020,6652,190,3400
05-14-2020,6607,190,3310
05-13-2020,6512,188,3131
05-12-2020,6418,188,2991
05-11-2020,6281,188,2811
05-10-2020,6063,188,2554
05-09-2020,5910,186,2461
05-08-2020,5711,186,2324
05-07-2020,5548,183,2179
05-06-2020,5408,183,2017
05-05-2020,5219,181,1838
05-04-2020,5053,179,1653
05-03-2020,4903,174,1438
05-02-2020,4729,173,1256
05-01-2020,4569,171,1083
04-30-2020,4423,170,984
04-29-2020,4321,168,928
04-28-2020,4252,165,778
04-27-2020,4120,162,695
04-26-2020,4065,161,593
04-25-2020,3897,159,537
04-24-2020,3758,158,486
04-23-2020,3568,155,456
04-22-2020,3446,149,417
04-21-2020,3209,145,393
04-20-2020,3046,143,350
04-19-2020,2855,141,327
04-18-2020,2685,137,314
04-17-2020,2564,135,281
04-16-2020,2283,130,249
04-15-2020,2024,127,229
04-14-2020,1888,126,217
04-13-2020,1763,126,203
04-12-2020,1661,118,177
04-11-2020,1545,111,146
04-10-2020,1448,107,122
04-09-2020,1374,97,109
04-08-2020,1275,93,97
04-07-2020,1184,90,93
04-06-2020,1120,80,81
04-05-2020,1021,70,76
04-04-2020,919,59,66
04-03-2020,791,48,57
04-02-2020,708,44,31
04-01-2020,654,39,29
03-31-2020,617,36,24
03-30-2020,556,33,15
03-29-2020,479,26,13
03-28-2020,402,25,11
03-27-2020,345,23,11
03-26-2020,275,11,8
03-25-2020,225,6,7
03-24-2020,170,5,6
03-23-2020,143,4,5
03-22-2020,115,4,3
03-21-2020,96,3,3
03-20-2020,77,3,1
03-19-2020,63,2,1
03-18-2020,49,2,1
03-17-2020,38,2,1
03-16-2020,29,1,1
03-15-2020,28,1,1
03-14-2020,17,1,1
03-13-2020,7,1,1
03-12-2020,6,1,0
03-11-2020,5,1,0
03-10-2020,3,1,0
03-09-2020,2,0,0
03-08-2020,2,0,0
03-07-2020,2,0,0
03-06-2020,2,0,0
03-05-2020,2,0,0
03-04-2020,1,0,0
03-03-2020,1,0,0
03-02-2020,1,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
