,confirmed_cases,total_dead,recovered
06-18-2020,39,0,19
06-17-2020,36,0,19
06-16-2020,34,0,18
06-15-2020,32,0,17
06-14-2020,32,0,17
06-13-2020,32,0,17
06-12-2020,31,0,17
06-11-2020,31,0,17
06-10-2020,31,0,17
06-09-2020,31,0,16
06-08-2020,31,0,16
06-07-2020,29,0,16
06-06-2020,29,0,16
06-05-2020,25,0,16
06-04-2020,25,0,16
06-03-2020,25,0,16
06-02-2020,25,0,16
06-01-2020,25,0,16
05-31-2020,24,0,14
05-30-2020,23,0,14
05-29-2020,23,0,14
05-28-2020,22,0,14
05-27-2020,22,0,14
05-26-2020,21,0,14
05-25-2020,21,0,14
05-24-2020,21,0,14
05-23-2020,20,0,14
05-22-2020,19,0,14
05-21-2020,18,0,14
05-20-2020,16,0,14
05-19-2020,16,0,13
05-18-2020,16,0,13
05-17-2020,16,0,13
05-16-2020,16,0,13
05-15-2020,16,0,13
05-14-2020,16,0,12
05-13-2020,16,0,11
05-12-2020,16,0,11
05-11-2020,16,0,11
05-10-2020,16,0,11
05-09-2020,16,0,10
05-08-2020,16,0,9
05-07-2020,16,0,9
05-06-2020,16,0,8
05-05-2020,16,0,8
05-04-2020,16,0,8
05-03-2020,16,0,8
05-02-2020,16,0,8
05-01-2020,16,0,8
04-30-2020,16,0,8
04-29-2020,16,0,8
04-28-2020,16,0,8
04-27-2020,16,0,8
04-26-2020,16,0,8
04-25-2020,16,0,7
04-24-2020,16,0,7
04-23-2020,16,0,7
04-22-2020,16,0,6
04-21-2020,16,0,6
04-20-2020,16,0,6
04-19-2020,16,0,6
04-18-2020,16,0,6
04-17-2020,16,0,4
04-16-2020,16,0,4
04-15-2020,16,0,3
04-14-2020,16,0,3
04-13-2020,16,0,3
04-12-2020,16,0,3
04-11-2020,16,0,3
04-10-2020,16,0,3
04-09-2020,16,0,3
04-08-2020,16,0,3
04-07-2020,16,0,3
04-06-2020,16,0,3
04-05-2020,16,0,3
04-04-2020,14,0,3
04-03-2020,14,0,3
04-02-2020,14,0,3
04-01-2020,14,0,2
03-31-2020,11,0,2
03-30-2020,11,0,2
03-29-2020,11,0,2
03-28-2020,8,0,2
03-27-2020,8,0,2
03-26-2020,8,0,2
03-25-2020,7,0,2
03-24-2020,7,0,2
03-23-2020,4,0,0
03-22-2020,3,0,0
03-21-2020,3,0,0
03-20-2020,3,0,0
03-19-2020,3,0,0
03-18-2020,2,0,0
03-17-2020,2,0,0
03-16-2020,2,0,0
03-15-2020,2,0,0
03-14-2020,2,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
