,confirmed_cases,total_dead,recovered,active_cases
05-27-2020,952,63,796,93
05-26-2020,952,63,796,93
05-25-2020,951,62,786,103
05-24-2020,945,61,783,101
05-23-2020,943,61,775,107
05-22-2020,937,60,764,113
05-21-2020,924,60,753,111
05-20-2020,920,58,738,124
05-19-2020,914,55,734,125
05-18-2020,909,55,714,140
05-17-2020,904,54,698,152
05-16-2020,889,51,689,149
05-15-2020,885,51,684,150
05-14-2020,876,50,677,149
05-13-2020,860,49,658,153
05-12-2020,854,47,648,159
05-11-2020,832,46,637,149
05-10-2020,821,46,624,151
05-09-2020,815,45,617,153
05-08-2020,795,44,600,151
05-07-2020,781,42,586,153
05-06-2020,770,38,561,171
05-05-2020,763,38,543,182
05-04-2020,755,37,534,184
05-03-2020,750,36,518,196
05-02-2020,736,35,507,194
05-01-2020,728,33,478,217
04-30-2020,719,32,452,235
04-29-2020,713,32,435,246
04-28-2020,709,31,403,275
04-27-2020,701,29,385,287
04-26-2020,696,29,350,317
04-25-2020,684,27,325,332
04-24-2020,681,24,289,368
04-23-2020,671,24,256,391
04-22-2020,662,22,193,447
04-21-2020,657,20,127,510
04-20-2020,648,20,117,511
04-19-2020,648,20,117,511
04-18-2020,639,19,113,507
04-17-2020,627,18,110,499
04-16-2020,584,14,90,480
04-15-2020,584,14,90,480
04-14-2020,570,14,90,466
04-13-2020,529,12,75,442
04-12-2020,529,12,75,442
04-11-2020,491,11,41,439
04-10-2020,438,11,41,386
04-09-2020,410,11,40,359
04-08-2020,342,11,28,303
04-07-2020,278,11,26,241
04-06-2020,253,10,26,217
04-05-2020,184,10,13,161
04-04-2020,144,8,0,136
04-03-2020,120,5,0,115
04-02-2020,98,5,0,93
04-01-2020,74,5,0,69
03-31-2020,27,3,0,24
03-30-2020,27,3,0,24
03-29-2020,18,1,0,17
03-28-2020,10,1,0,9
03-27-2020,10,1,0,9
03-26-2020,10,1,0,9
03-25-2020,7,1,0,6
03-24-2020,3,0,0,3
03-23-2020,3,0,0,3
03-22-2020,2,0,0,2
