,confirmed_cases,total_dead,recovered
06-20-2020,19808,506,6718
06-19-2020,19147,487,6581
06-18-2020,18480,475,6307
06-17-2020,17735,469,5967
06-16-2020,17148,455,5623
06-15-2020,16658,424,5349
06-14-2020,16085,420,5220
06-13-2020,15682,407,5101
06-12-2020,15181,399,4891
06-11-2020,14554,387,4494
06-10-2020,13873,382,4351
06-09-2020,13464,365,4206
06-08-2020,12801,361,4040
06-07-2020,12486,354,3959
06-06-2020,12233,342,3826
06-05-2020,11844,333,3696
06-04-2020,11516,323,3535
06-03-2020,11166,315,3329
06-02-2020,10819,314,3240
06-01-2020,10578,299,3122
05-31-2020,10162,287,3007
05-30-2020,9855,273,2856
05-29-2020,9302,261,2697
05-28-2020,8915,259,2592
05-27-2020,8733,254,2501
05-26-2020,8344,249,2385
05-25-2020,8068,233,2311
05-24-2020,7839,226,2263
05-23-2020,7526,221,2174
05-22-2020,7261,221,2007
05-21-2020,7016,211,1907
05-20-2020,6677,200,1840
05-19-2020,6401,192,1734
05-18-2020,6175,191,1644
05-17-2020,5959,182,1594
05-16-2020,5621,176,1472
05-15-2020,5450,171,1320
05-14-2020,5162,167,1180
05-13-2020,4971,164,1070
05-12-2020,4787,158,959
05-11-2020,4641,150,902
05-10-2020,4399,143,778
05-09-2020,4151,128,745
05-08-2020,3912,117,679
05-07-2020,3526,107,601
05-06-2020,3145,103,534
05-05-2020,2950,98,481
05-04-2020,2802,93,417
05-03-2020,2558,87,400
05-02-2020,2388,85,351
05-01-2020,2170,68,351
04-30-2020,1932,58,319
04-29-2020,1728,51,307
04-28-2020,1532,44,255
04-27-2020,1337,40,255
04-26-2020,1273,40,239
04-25-2020,1182,35,222
04-24-2020,1095,32,208
04-23-2020,981,31,197
04-22-2020,873,28,197
04-21-2020,665,22,188
04-20-2020,665,22,188
04-19-2020,627,21,170
04-18-2020,542,19,166
04-17-2020,493,17,159
04-16-2020,442,13,152
04-15-2020,407,12,128
04-14-2020,373,11,99
04-13-2020,343,10,91
04-12-2020,323,10,85
04-11-2020,318,10,70
04-10-2020,305,7,58
04-09-2020,288,7,51
04-08-2020,276,6,44
04-07-2020,254,6,44
04-06-2020,238,5,35
04-05-2020,232,5,33
04-04-2020,214,4,25
04-03-2020,210,4,25
04-02-2020,184,2,20
04-01-2020,174,2,9
03-31-2020,135,2,8
03-30-2020,131,2,8
03-29-2020,111,1,3
03-28-2020,89,1,3
03-27-2020,70,1,3
03-26-2020,65,1,2
03-25-2020,51,1,2
03-24-2020,44,1,2
03-23-2020,40,1,2
03-22-2020,30,0,2
03-21-2020,22,0,1
03-20-2020,12,0,1
03-19-2020,8,0,1
03-18-2020,8,0,1
03-17-2020,3,0,0
03-16-2020,2,0,0
03-15-2020,2,0,0
03-14-2020,2,0,0
03-13-2020,2,0,0
03-12-2020,2,0,0
03-11-2020,2,0,0
03-10-2020,2,0,0
03-09-2020,2,0,0
03-08-2020,1,0,0
03-07-2020,1,0,0
03-06-2020,1,0,0
03-05-2020,1,0,0
03-04-2020,1,0,0
03-03-2020,1,0,0
03-02-2020,1,0,0
03-01-2020,1,0,0
02-29-2020,1,0,0
02-28-2020,1,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
