,confirmed_cases,total_dead,recovered,active_cases
05-25-2020,336,0,238,98
05-24-2020,327,0,237,90
05-23-2020,325,0,227,98
05-22-2020,321,0,222,99
05-21-2020,320,0,217,103
05-20-2020,314,0,216,98
05-19-2020,308,0,209,99
05-18-2020,297,0,203,94
05-17-2020,292,0,197,95
05-16-2020,289,0,178,111
05-15-2020,287,0,177,110
05-14-2020,287,0,168,119
05-13-2020,287,0,164,123
05-12-2020,286,0,153,133
05-11-2020,285,0,150,135
05-10-2020,284,0,140,144
05-09-2020,280,0,140,140
05-08-2020,273,0,136,137
05-07-2020,271,0,133,138
05-06-2020,268,0,130,138
05-05-2020,261,0,129,132
05-04-2020,261,0,128,133
05-03-2020,259,0,124,135
05-02-2020,255,0,120,135
05-01-2020,249,0,109,140
04-30-2020,243,0,104,139
04-29-2020,225,0,98,127
04-28-2020,212,0,95,117
04-27-2020,207,0,93,114
04-26-2020,191,0,92,99
04-25-2020,183,0,88,95
04-24-2020,176,0,87,89
04-23-2020,154,0,87,67
04-22-2020,153,0,84,69
04-21-2020,150,0,84,66
04-20-2020,147,0,76,71
04-19-2020,147,0,76,71
04-18-2020,144,0,69,75
04-17-2020,143,0,65,78
04-16-2020,138,0,60,78
04-15-2020,136,0,54,82
04-14-2020,134,0,49,85
04-13-2020,127,0,42,85
04-12-2020,126,0,25,101
04-11-2020,120,0,18,102
04-10-2020,118,0,7,111
04-09-2020,110,0,7,103
04-08-2020,110,0,7,103
04-07-2020,105,0,7,98
04-06-2020,105,0,4,101
04-05-2020,104,0,4,100
04-04-2020,102,0,0,102
04-03-2020,89,0,0,89
04-02-2020,84,0,0,84
04-01-2020,82,0,0,82
03-31-2020,75,0,0,75
03-30-2020,70,0,0,70
03-29-2020,70,0,0,70
03-28-2020,60,0,0,60
03-27-2020,54,0,0,54
03-26-2020,50,0,0,50
03-25-2020,41,0,0,41
03-24-2020,40,0,0,40
03-23-2020,36,0,0,36
03-22-2020,19,0,0,19
