,confirmed_cases,total_dead,recovered,active_cases
05-22-2020,11,0,11,0
05-21-2020,11,0,11,0
05-20-2020,11,0,11,0
05-19-2020,11,0,11,0
05-18-2020,11,0,11,0
05-17-2020,11,0,10,1
05-16-2020,11,0,10,1
05-15-2020,11,0,10,1
05-14-2020,11,0,10,1
05-13-2020,11,0,10,1
05-12-2020,11,0,10,1
05-11-2020,11,0,10,1
05-10-2020,11,0,10,1
05-09-2020,11,0,8,3
05-08-2020,11,0,8,3
05-07-2020,11,0,8,3
05-06-2020,11,0,8,3
05-05-2020,11,0,8,3
05-04-2020,11,0,6,5
05-03-2020,11,0,6,5
05-02-2020,11,0,6,5
05-01-2020,11,0,6,5
04-30-2020,11,0,6,5
04-29-2020,11,0,6,5
04-28-2020,11,0,6,5
04-27-2020,11,0,6,5
04-26-2020,11,0,6,5
04-25-2020,11,0,6,5
04-24-2020,11,0,6,5
04-23-2020,11,0,6,5
04-22-2020,11,0,5,6
04-21-2020,11,0,5,6
04-20-2020,11,0,5,6
04-19-2020,11,0,5,6
04-18-2020,11,0,5,6
04-17-2020,11,0,5,6
04-16-2020,11,0,0,11
04-15-2020,11,0,0,11
04-14-2020,11,0,0,11
04-13-2020,11,0,0,11
04-12-2020,11,0,0,11
04-11-2020,11,0,0,11
04-10-2020,11,0,0,11
04-09-2020,11,0,0,11
04-08-2020,11,0,0,11
04-07-2020,11,0,0,11
04-06-2020,11,0,0,11
04-05-2020,10,0,0,10
04-04-2020,10,0,0,10
04-03-2020,10,0,0,10
04-02-2020,10,0,0,10
04-01-2020,10,0,0,10
03-31-2020,10,0,0,10
03-30-2020,8,0,0,8
03-29-2020,8,0,0,8
03-28-2020,8,0,0,8
03-27-2020,7,0,0,7
03-26-2020,7,0,0,7
03-25-2020,7,0,0,7
03-24-2020,7,0,0,7
03-23-2020,7,0,0,7
03-22-2020,7,0,0,7
