,confirmed_cases,total_dead,recovered
06-05-2020,929,47,580
06-04-2020,914,47,491
06-03-2020,909,47,491
06-02-2020,896,46,480
06-01-2020,865,46,475
05-31-2020,861,46,454
05-30-2020,852,46,415
05-29-2020,829,45,386
05-28-2020,812,45,361
05-27-2020,782,45,297
05-26-2020,754,44,297
05-25-2020,735,42,293
05-24-2020,707,40,241
05-23-2020,621,39,241
05-22-2020,606,38,230
05-21-2020,585,35,205
05-20-2020,570,34,205
05-19-2020,534,33,167
05-18-2020,519,33,148
05-17-2020,505,32,141
05-16-2020,462,29,106
05-15-2020,447,27,97
05-14-2020,408,26,97
05-13-2020,387,26,97
05-12-2020,338,19,72
05-11-2020,338,19,72
05-10-2020,307,18,67
05-09-2020,291,18,58
05-08-2020,257,17,54
05-07-2020,231,16,54
05-06-2020,225,14,54
05-05-2020,199,11,43
05-04-2020,178,9,37
05-03-2020,166,8,29
05-02-2020,155,8,21
05-01-2020,136,7,21
04-30-2020,124,7,21
04-29-2020,104,4,12
04-28-2020,104,4,12
04-27-2020,93,4,10
04-26-2020,93,4,10
04-25-2020,82,2,10
04-24-2020,82,2,10
04-23-2020,64,1,10
04-22-2020,61,0,6
04-21-2020,50,0,6
04-20-2020,43,0,6
04-19-2020,35,0,6
04-18-2020,30,0,0
04-17-2020,26,0,0
04-16-2020,15,0,0
04-15-2020,13,0,0
04-14-2020,11,0,0
04-13-2020,10,0,0
04-12-2020,10,0,0
04-11-2020,8,0,0
04-10-2020,8,0,0
04-09-2020,7,0,0
04-08-2020,7,0,0
04-07-2020,6,0,0
04-06-2020,6,0,0
04-05-2020,6,0,0
04-04-2020,4,0,0
04-03-2020,2,0,0
04-02-2020,2,0,0
04-01-2020,2,0,0
03-31-2020,1,0,0
03-30-2020,0,0,0
03-29-2020,0,0,0
03-28-2020,0,0,0
03-27-2020,0,0,0
03-26-2020,0,0,0
03-25-2020,0,0,0
03-24-2020,0,0,0
03-23-2020,0,0,0
03-22-2020,0,0,0
03-21-2020,0,0,0
03-20-2020,0,0,0
03-19-2020,0,0,0
03-18-2020,0,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
