,confirmed_cases,total_dead,recovered,active_cases
06-05-2020,2204,79,418,1707
06-04-2020,2204,79,418,1707
06-03-2020,2146,79,406,1661
06-02-2020,2089,79,361,1649
06-01-2020,2023,79,361,1583
05-31-2020,1976,78,348,1550
05-30-2020,1916,73,327,1516
05-29-2020,1828,72,310,1446
05-28-2020,1828,72,310,1446
05-27-2020,1731,67,265,1399
05-26-2020,1711,67,253,1391
05-25-2020,1689,66,235,1388
05-24-2020,1594,61,204,1329
05-23-2020,1594,61,204,1329
05-22-2020,1594,61,204,1329
05-21-2020,1594,61,204,1329
05-20-2020,1573,61,188,1324
05-19-2020,1502,59,178,1265
05-18-2020,1455,57,163,1235
05-17-2020,1421,56,152,1213
05-16-2020,1357,55,148,1154
05-15-2020,1284,53,135,1096
05-14-2020,1284,53,135,1096
05-13-2020,1219,52,130,1037
05-12-2020,1170,52,126,992
05-11-2020,1089,52,121,916
05-10-2020,1054,51,118,885
05-09-2020,997,48,110,839
05-08-2020,928,44,106,778
05-07-2020,928,44,106,778
05-06-2020,873,39,87,747
05-05-2020,835,38,75,722
05-04-2020,756,35,61,660
05-03-2020,722,32,44,646
05-02-2020,671,31,34,606
05-01-2020,601,28,31,542
04-30-2020,601,28,31,542
04-29-2020,582,28,20,534
04-28-2020,528,28,19,481
04-27-2020,480,26,10,444
04-26-2020,436,23,10,403
04-25-2020,390,18,8,364
04-24-2020,328,16,8,304
04-23-2020,328,16,8,304
04-22-2020,286,8,4,274
04-21-2020,286,8,4,274
04-20-2020,237,8,4,225
04-19-2020,164,7,3,154
04-18-2020,135,7,2,126
04-17-2020,116,6,2,108
04-16-2020,80,5,2,73
04-15-2020,80,5,2,73
04-14-2020,60,2,2,56
04-13-2020,60,2,2,56
04-12-2020,25,1,2,22
04-11-2020,21,1,1,19
04-10-2020,21,1,1,19
04-09-2020,12,1,1,10
04-08-2020,12,1,1,10
04-07-2020,8,0,1,7
04-06-2020,7,0,1,6
04-05-2020,7,0,1,6
04-04-2020,7,0,1,6
04-03-2020,7,0,1,6
04-02-2020,5,0,1,4
04-01-2020,5,0,1,4
03-31-2020,5,0,1,4
03-30-2020,3,0,0,3
03-29-2020,3,0,0,3
03-28-2020,3,0,0,3
03-27-2020,3,0,0,3
03-26-2020,2,0,0,2
03-25-2020,1,0,0,1
03-24-2020,1,0,0,1
03-23-2020,1,0,0,1
03-22-2020,1,0,0,1
