,confirmed_cases,total_dead,recovered,active_cases
05-23-2020,21343,407,10104,10832
05-22-2020,20125,397,10104,9624
05-21-2020,19137,369,8950,9818
05-20-2020,18003,339,8950,8714
05-19-2020,17200,312,7960,8928
05-18-2020,16433,286,7298,8849
05-17-2020,15515,264,7006,8245
05-16-2020,14355,261,6478,7616
05-15-2020,13524,247,6083,7194
05-14-2020,12739,238,5676,6825
05-13-2020,12074,219,4745,7110
05-12-2020,11350,206,4357,6787
05-11-2020,10652,206,4357,6089
05-10-2020,10015,194,4173,5648
05-09-2020,9420,186,3983,5251
05-08-2020,8895,178,3153,5564
05-07-2020,8232,161,3153,4918
05-06-2020,7808,153,3153,4502
05-05-2020,7572,148,2746,4678
05-04-2020,7220,138,2746,4336
05-03-2020,6783,131,2549,4103
05-02-2020,6336,123,2549,3664
05-01-2020,5951,116,2382,3453
04-30-2020,5647,103,2073,3471
04-29-2020,5350,103,2073,3174
04-28-2020,4996,93,2073,2830
04-27-2020,4793,90,1473,3230
04-26-2020,4546,87,1473,2986
04-25-2020,4361,86,1473,2802
04-24-2020,4220,79,1473,2668
04-23-2020,3953,75,1473,2405
04-22-2020,3635,65,1055,2515
04-21-2020,3465,58,1055,2352
04-20-2020,3300,58,1055,2187
04-19-2020,3158,54,903,2201
04-18-2020,3034,52,903,2079
04-17-2020,2783,50,903,1830
04-16-2020,2605,48,903,1654
04-15-2020,2506,34,410,2062
04-14-2020,2415,27,410,1978
04-13-2020,2272,27,410,1835
04-12-2020,2173,25,410,1738
04-11-2020,2028,25,410,1593
04-10-2020,2003,24,410,1569
04-09-2020,1934,18,95,1821
04-08-2020,1845,18,95,1732
04-07-2020,1749,13,95,1641
04-06-2020,1686,12,95,1579
04-05-2020,1655,11,95,1549
04-04-2020,1585,9,95,1481
04-03-2020,1505,9,95,1401
04-02-2020,1462,5,50,1407
04-01-2020,1380,5,50,1325
03-31-2020,1353,5,31,1317
03-30-2020,1326,3,31,1292
03-29-2020,1280,2,31,1247
03-28-2020,1187,1,31,1155
03-27-2020,1170,1,31,1138
03-26-2020,927,0,12,915
03-25-2020,709,0,12,697
03-24-2020,554,0,4,550
03-23-2020,402,0,4,398
03-22-2020,274,0,2,272
