,confirmed_cases,total_dead,recovered
06-14-2020,1693,27,49
06-13-2020,1693,27,49
06-12-2020,1670,24,48
06-11-2020,1670,24,48
06-10-2020,1604,19,15
06-09-2020,1604,19,15
06-08-2020,1604,19,15
06-07-2020,1317,14,6
06-06-2020,994,10,6
06-05-2020,994,10,6
06-04-2020,994,10,6
06-03-2020,994,10,6
06-02-2020,994,10,6
06-01-2020,994,10,6
05-31-2020,994,10,6
05-30-2020,994,10,6
05-29-2020,994,10,6
05-28-2020,994,10,6
05-27-2020,994,10,6
05-26-2020,806,8,6
05-25-2020,806,8,6
05-24-2020,655,8,6
05-23-2020,655,8,6
05-22-2020,563,6,6
05-21-2020,481,4,4
05-20-2020,290,4,4
05-19-2020,290,4,4
05-18-2020,290,4,4
05-17-2020,290,4,4
05-16-2020,236,4,4
05-15-2020,236,4,4
05-14-2020,203,0,3
05-13-2020,203,0,2
05-12-2020,194,0,2
05-11-2020,156,0,2
05-10-2020,120,0,2
05-09-2020,120,0,2
05-08-2020,120,0,2
05-07-2020,74,0,0
05-06-2020,58,0,0
05-05-2020,52,0,0
05-04-2020,46,0,0
05-03-2020,46,0,0
05-02-2020,45,0,0
05-01-2020,45,0,0
04-30-2020,35,0,0
04-29-2020,34,0,0
04-28-2020,34,0,0
04-27-2020,6,0,0
04-26-2020,6,0,0
04-25-2020,5,0,0
04-24-2020,5,0,0
04-23-2020,5,0,0
04-22-2020,4,0,0
04-21-2020,4,0,0
04-20-2020,4,0,0
04-19-2020,4,0,0
04-18-2020,4,0,0
04-17-2020,4,0,0
04-16-2020,4,0,0
04-15-2020,4,0,0
04-14-2020,4,0,0
04-13-2020,4,0,0
04-12-2020,4,0,0
04-11-2020,4,0,0
04-10-2020,4,0,0
04-09-2020,3,0,0
04-08-2020,2,0,0
04-07-2020,2,0,0
04-06-2020,1,0,0
04-05-2020,1,0,0
04-04-2020,0,0,0
04-03-2020,0,0,0
04-02-2020,0,0,0
04-01-2020,0,0,0
03-31-2020,0,0,0
03-30-2020,0,0,0
03-29-2020,0,0,0
03-28-2020,0,0,0
03-27-2020,0,0,0
03-26-2020,0,0,0
03-25-2020,0,0,0
03-24-2020,0,0,0
03-23-2020,0,0,0
03-22-2020,0,0,0
03-21-2020,0,0,0
03-20-2020,0,0,0
03-19-2020,0,0,0
03-18-2020,0,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
