,confirmed_cases,total_dead,recovered
06-01-2020,1084,48,964
05-31-2020,1077,48,960
05-30-2020,1076,48,950
05-29-2020,1071,48,946
05-28-2020,1068,48,938
05-27-2020,1051,48,929
05-26-2020,1051,48,929
05-25-2020,1051,48,919
05-24-2020,1051,48,917
05-23-2020,1048,48,914
05-22-2020,1048,47,903
05-21-2020,1046,47,883
05-20-2020,1045,47,862
05-19-2020,1044,47,826
05-18-2020,1043,46,819
05-17-2020,1037,45,816
05-16-2020,1037,45,807
05-15-2020,1035,45,802
05-14-2020,1032,45,770
05-13-2020,1032,45,759
05-12-2020,1032,45,740
05-11-2020,1032,45,727
05-10-2020,1032,45,700
05-09-2020,1032,45,660
05-08-2020,1030,45,638
05-07-2020,1026,44,600
05-06-2020,1025,43,591
05-05-2020,1022,43,482
05-04-2020,1018,43,406
05-03-2020,1013,42,328
05-02-2020,1009,42,323
05-01-2020,998,41,316
04-30-2020,994,41,305
04-29-2020,980,40,294
04-28-2020,975,40,279
04-27-2020,967,39,279
04-26-2020,949,38,216
04-25-2020,939,38,207
04-24-2020,922,38,194
04-23-2020,918,38,190
04-22-2020,909,38,190
04-21-2020,884,38,148
04-20-2020,884,38,148
04-19-2020,879,38,43
04-18-2020,864,37,43
04-17-2020,864,37,43
04-16-2020,822,37,43
04-15-2020,780,35,43
04-14-2020,747,34,43
04-13-2020,726,34,43
04-12-2020,707,31,43
04-11-2020,685,28,43
04-10-2020,671,25,25
04-09-2020,643,25,25
04-08-2020,628,24,25
04-07-2020,623,23,25
04-06-2020,596,22,5
04-05-2020,574,22,5
04-04-2020,553,18,5
04-03-2020,495,18,5
04-02-2020,455,14,5
04-01-2020,423,12,5
03-31-2020,394,10,3
03-30-2020,312,8,3
03-29-2020,312,8,2
03-28-2020,278,8,2
03-27-2020,227,6,2
03-26-2020,197,6,2
03-25-2020,173,5,2
03-24-2020,114,4,1
03-23-2020,89,3,1
03-22-2020,75,3,1
03-21-2020,60,1,0
03-20-2020,54,1,0
03-19-2020,39,1,0
03-18-2020,29,0,0
03-17-2020,24,0,0
03-16-2020,20,0,0
03-15-2020,18,0,0
03-14-2020,18,0,0
03-13-2020,16,0,0
03-12-2020,7,0,0
03-11-2020,7,0,0
03-10-2020,5,0,0
03-09-2020,2,0,0
03-08-2020,2,0,0
03-07-2020,1,0,0
03-06-2020,1,0,0
03-05-2020,1,0,0
03-04-2020,1,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
