,confirmed_cases,total_dead,recovered
06-14-2020,1358,11,1122
06-13-2020,1357,10,1104
06-12-2020,1321,10,1104
06-11-2020,1200,10,912
06-10-2020,1200,10,912
06-09-2020,1200,10,912
06-08-2020,1200,10,912
06-07-2020,1089,7,912
06-06-2020,1089,7,912
06-05-2020,1089,7,912
06-04-2020,1089,7,912
06-03-2020,1089,7,912
06-02-2020,1089,7,912
06-01-2020,1089,7,912
05-31-2020,1057,7,779
05-30-2020,1057,7,779
05-29-2020,1057,7,779
05-28-2020,1057,7,779
05-27-2020,1057,7,779
05-26-2020,920,7,336
05-25-2020,920,7,336
05-24-2020,920,7,336
05-23-2020,920,7,336
05-22-2020,920,7,336
05-21-2020,866,7,302
05-20-2020,832,7,197
05-19-2020,772,7,192
05-18-2020,761,7,192
05-17-2020,753,7,188
05-16-2020,679,7,183
05-15-2020,654,7,124
05-14-2020,654,7,124
05-13-2020,446,7,124
05-12-2020,441,7,117
05-11-2020,267,7,117
05-10-2020,267,7,117
05-09-2020,252,7,112
05-08-2020,167,4,111
05-07-2020,153,4,103
05-06-2020,146,4,101
05-05-2020,138,3,92
05-04-2020,137,3,78
05-03-2020,124,3,78
05-02-2020,119,3,75
05-01-2020,109,3,74
04-30-2020,106,3,55
04-29-2020,97,3,54
04-28-2020,95,3,42
04-27-2020,88,3,42
04-26-2020,88,3,42
04-25-2020,84,3,37
04-24-2020,84,3,37
04-23-2020,76,3,37
04-22-2020,74,3,35
04-21-2020,70,3,35
04-20-2020,65,3,35
04-19-2020,61,3,33
04-18-2020,57,2,33
04-17-2020,52,2,30
04-16-2020,48,2,30
04-15-2020,48,2,30
04-14-2020,45,2,30
04-13-2020,45,2,30
04-12-2020,43,2,30
04-11-2020,40,2,28
04-10-2020,40,2,25
04-09-2020,39,1,24
04-08-2020,39,1,7
04-07-2020,39,1,7
04-06-2020,39,1,5
04-05-2020,39,1,3
04-04-2020,39,1,2
04-03-2020,39,1,2
04-02-2020,39,1,0
04-01-2020,36,0,0
03-31-2020,35,0,0
03-30-2020,35,0,0
03-29-2020,29,0,0
03-28-2020,28,0,0
03-27-2020,22,0,0
03-26-2020,16,0,0
03-25-2020,12,0,0
03-24-2020,3,0,0
03-23-2020,3,0,0
03-22-2020,3,0,0
03-21-2020,2,0,0
03-20-2020,2,0,0
03-19-2020,2,0,0
03-18-2020,2,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
