,confirmed_cases,total_dead,recovered,active_cases
06-05-2020,265,4,33,228
06-04-2020,237,4,31,202
06-03-2020,222,4,29,189
06-02-2020,206,4,29,173
06-01-2020,203,4,29,170
05-31-2020,178,4,29,145
05-30-2020,174,4,29,141
05-29-2020,149,4,28,117
05-28-2020,149,4,28,117
05-27-2020,132,4,25,103
05-26-2020,56,4,25,27
05-25-2020,56,4,25,27
05-24-2020,56,4,25,27
05-23-2020,56,4,18,34
05-22-2020,51,4,18,29
05-21-2020,51,4,18,29
05-20-2020,48,4,18,26
05-19-2020,46,4,18,24
05-18-2020,46,4,18,24
05-17-2020,44,4,17,23
05-16-2020,42,4,13,25
05-15-2020,42,4,13,25
05-14-2020,37,4,13,20
05-13-2020,37,4,12,21
05-12-2020,36,4,9,23
05-11-2020,36,4,9,23
05-10-2020,36,4,9,23
05-09-2020,35,4,9,22
05-08-2020,34,4,9,21
05-07-2020,34,4,5,25
05-06-2020,34,4,5,25
05-05-2020,34,4,5,25
05-04-2020,34,4,5,25
05-03-2020,34,4,5,25
05-02-2020,34,4,5,25
05-01-2020,40,4,5,31
04-30-2020,40,4,5,31
04-29-2020,32,4,5,23
04-28-2020,32,4,5,23
04-27-2020,32,4,5,23
04-26-2020,31,4,2,25
04-25-2020,31,4,2,25
04-24-2020,29,4,2,23
04-23-2020,28,4,2,22
04-22-2020,28,4,2,22
04-21-2020,28,3,2,23
04-20-2020,25,3,2,20
04-19-2020,25,3,2,20
04-18-2020,25,3,2,20
04-17-2020,24,3,2,19
04-16-2020,23,3,1,19
04-15-2020,23,3,1,19
04-14-2020,17,3,0,14
04-13-2020,17,3,0,14
04-12-2020,14,3,0,11
04-11-2020,14,3,0,11
04-10-2020,13,3,0,10
04-09-2020,11,3,0,8
04-08-2020,11,3,0,8
04-07-2020,11,2,0,9
04-06-2020,10,1,0,9
04-05-2020,9,1,0,8
04-04-2020,9,1,0,8
04-03-2020,9,1,0,8
04-02-2020,9,1,0,8
04-01-2020,8,1,0,7
03-31-2020,8,1,0,7
03-30-2020,7,1,0,6
03-29-2020,7,1,0,6
03-28-2020,7,1,0,6
03-27-2020,5,1,0,4
03-26-2020,3,1,0,2
03-25-2020,3,1,0,2
03-24-2020,3,1,0,2
03-23-2020,3,1,0,2
03-22-2020,3,0,0,3
